2018-12-11 22:49:57,735 [[1,0,0,2.0]	[[234.6530876207746, 486.1904571549423]]]
2018-12-11 22:49:57,736 [[1,0,0,2.1]	[[214.4615486700679, 469.1436748848984]]]
2018-12-11 22:49:57,736 [[1,0,0,2.2]	[[207.73479130667332, 443.7662939829979]]]
2018-12-11 22:49:57,736 [[0,1,0,2.0]	[[183.9160121028642, 357.7326448383993]]]
2018-12-11 22:49:57,737 [[0,1,0,2.1]	[[161.57798882750546, 334.8033709278927]]]
2018-12-11 22:49:57,737 [[0,1,0,2.2]	[[157.82751105259103, 294.4211902431098]]]
2018-12-11 22:49:57,737 [[1,1,0,2.0]	[[392.36357424397863, 831.3899526803121]]]
2018-12-11 22:49:57,737 [[1,1,0,2.1]	[[382.6276532930037, 789.892048074205]]]
2018-12-11 22:49:57,737 [[1,1,0,2.2]	[[367.5167194851381, 761.3499825710985]]]
2018-12-11 22:49:57,737 [[0,0,1,2.0]	[[177.5788856737963, 255.19279963242494]]]
2018-12-11 22:49:57,737 [[0,0,1,2.1]	[[160.39168898086538, 250.17319284608828]]]
2018-12-11 22:49:57,737 [[0,0,1,2.2]	[[159.65153581560116, 230.26340681724244]]]
2018-12-11 22:49:57,737 [[1,0,1,2.0]	[[379.0256711223941, 742.7801546515392]]]
2018-12-11 22:49:57,738 [[1,0,1,2.1]	[[373.7220294963811, 717.4248425938284]]]
2018-12-11 22:49:57,738 [[1,0,1,2.2]	[[335.0081116828729, 669.6304189262888]]]
2018-12-11 22:49:57,739 [[0,1,1,2.0]	[[338.00033769296334, 590.5035782484008]]]
2018-12-11 22:49:57,739 [[0,1,1,2.1]	[[323.6021772150053, 560.051663942642]]]
2018-12-11 22:49:57,739 [[0,1,1,2.2]	[[323.9343001855532, 536.2996086838838]]]
2018-12-11 22:49:57,739 [[1,1,1,2.0]	[[550.6794001097497, 1068.466223101133]]]
2018-12-11 22:49:57,739 [[1,1,1,2.1]	[[535.825238118055, 1042.2961084810604]]]
2018-12-11 22:49:57,739 [[1,1,1,2.2]	[[526.6121694107604, 997.3805385203028]]]
2018-12-11 22:55:56,389 [[1,0,0,2.0]	[[204.22831957548533, 486.3297196340821]]]
2018-12-11 22:55:56,389 [[1,0,0,2.1]	[[213.85230099529383, 462.99020069888536]]]
2018-12-11 22:55:56,389 [[1,0,0,2.2]	[[204.97204345094858, 452.9889577680402]]]
2018-12-11 22:55:56,389 [[0,1,0,2.0]	[[172.21784487507017, 348.4872651624697]]]
2018-12-11 22:55:56,389 [[0,1,0,2.1]	[[164.00628674035488, 332.5554332525229]]]
2018-12-11 22:55:56,389 [[0,1,0,2.2]	[[156.753724484809, 304.33124290118263]]]
2018-12-11 22:55:56,389 [[1,1,0,2.0]	[[392.99753660945436, 817.3166688918456]]]
2018-12-11 22:55:56,389 [[1,1,0,2.1]	[[368.71068586052695, 810.3367541177413]]]
2018-12-11 22:55:56,389 [[1,1,0,2.2]	[[358.410100464836, 748.3099200934327]]]
2018-12-11 22:55:56,389 [[0,0,1,2.0]	[[179.62873504715333, 259.7793906045984]]]
2018-12-11 22:55:56,389 [[0,0,1,2.1]	[[167.70846470218362, 247.07779286562842]]]
2018-12-11 22:55:56,389 [[0,0,1,2.2]	[[142.38947951019944, 222.51691072077733]]]
2018-12-11 22:55:56,389 [[1,0,1,2.0]	[[381.54664777051215, 737.7909921752115]]]
2018-12-11 22:55:56,390 [[1,0,1,2.1]	[[373.98311442602994, 704.1994564106852]]]
2018-12-11 22:55:56,390 [[1,0,1,2.2]	[[358.8030346060539, 690.379564450004]]]
2018-12-11 22:55:56,390 [[0,1,1,2.0]	[[353.42557880518405, 592.7535241577649]]]
2018-12-11 22:55:56,390 [[0,1,1,2.1]	[[340.13280868065385, 566.8066798389974]]]
2018-12-11 22:55:56,390 [[0,1,1,2.2]	[[331.66259167412414, 542.2485278664013]]]
2018-12-11 22:55:56,390 [[1,1,1,2.0]	[[555.8455757506274, 1086.4165343208026]]]
2018-12-11 22:55:56,390 [[1,1,1,2.1]	[[530.8142881234724, 1032.9503123360955]]]
2018-12-11 22:55:56,390 [[1,1,1,2.2]	[[515.4962951367563, 991.1839894538793]]]
2018-12-13 12:25:03,600 [0,0,0,2.0,[0.0, 6.000000000000002]]
2018-12-13 12:25:03,602 [0,0,0,2.1,[0.0, 6.000000000000002]]
2018-12-13 12:25:03,604 [0,0,0,2.2,[0.0, 6.000000000000002]]
2018-12-13 12:25:03,605 [1,0,0,2.0,[217.2734142432677, 475.55181274360535]]
2018-12-13 12:25:03,607 [1,0,0,2.1,[204.06051064580194, 462.63599907116674]]
2018-12-13 12:25:03,609 [1,0,0,2.2,[198.70213087828154, 437.64248631288285]]
2018-12-13 12:25:03,611 [0,1,0,2.0,[178.43613574907877, 338.18796572388607]]
2018-12-13 12:25:03,612 [0,1,0,2.1,[157.24980755795139, 336.6445029082036]]
2018-12-13 12:25:03,614 [0,1,0,2.2,[168.20228366600364, 294.567662434791]]
2018-12-13 12:25:03,616 [1,1,0,2.0,[392.1355508239713, 839.873401173136]]
2018-12-13 12:25:03,618 [1,1,0,2.1,[364.3109012534417, 764.9699528591217]]
2018-12-13 12:25:03,619 [1,1,0,2.2,[355.1143493693096, 745.1556157298962]]
2018-12-13 12:25:03,621 [0,0,1,2.0,[179.22271061061232, 258.89466508189975]]
2018-12-13 12:25:03,623 [0,0,1,2.1,[160.4468650295406, 248.7722132854243]]
2018-12-13 12:25:03,625 [0,0,1,2.2,[163.11085733134584, 238.80857252839584]]
2018-12-13 12:25:03,627 [1,0,1,2.0,[404.7733325938336, 759.3714419620621]]
2018-12-13 12:25:03,628 [1,0,1,2.1,[360.39542902984863, 707.2997962854174]]
2018-12-13 12:25:03,630 [1,0,1,2.2,[353.54536824158913, 687.7512538538318]]
2018-12-13 12:25:03,632 [0,1,1,2.0,[341.79443205216, 580.2780873806839]]
2018-12-13 12:25:03,634 [0,1,1,2.1,[338.5738624379907, 568.85668485539]]
2018-12-13 12:25:03,635 [0,1,1,2.2,[316.9265279696486, 548.8394238068637]]
2018-12-13 12:25:03,637 [1,1,1,2.0,[572.6692502715325, 1086.600920894915]]
2018-12-13 12:25:03,639 [1,1,1,2.1,[531.0523771272531, 1068.3052559138373]]
2018-12-13 12:25:03,641 [1,1,1,2.2,[503.4607147808169, 991.3884610323657]]
2018-12-13 14:28:11,849 [0,0,0,2.0,[0.0, 6.000000000000002]]
2018-12-13 14:28:11,851 [0,0,0,2.1,[0.0, 6.000000000000002]]
2018-12-13 14:28:11,853 [0,0,0,2.2,[0.0, 6.000000000000002]]
2018-12-13 14:28:11,855 [1,0,0,2.0,[226.27744965705253, 485.69442393120966]]
2018-12-13 14:28:11,856 [1,0,0,2.1,[199.0472628324621, 468.33706223493806]]
2018-12-13 14:28:11,858 [1,0,0,2.2,[207.8604718022053, 453.6835999106187]]
2018-12-13 14:28:11,859 [0,1,0,2.0,[189.60502923206158, 337.74801697428364]]
2018-12-13 14:28:11,861 [0,1,0,2.1,[167.9672104668773, 317.7217285681871]]
2018-12-13 14:28:11,862 [0,1,0,2.2,[167.71433439738502, 313.1765820855588]]
2018-12-13 14:28:11,864 [1,1,0,2.0,[393.4709915769412, 821.1367426791587]]
2018-12-13 14:28:11,865 [1,1,0,2.1,[360.7772436812068, 790.138149402823]]
2018-12-13 14:28:11,867 [1,1,0,2.2,[350.51412620423895, 768.822757133647]]
2018-12-13 14:28:11,868 [0,0,1,2.0,[173.5562779205624, 248.88967326935938]]
2018-12-13 14:28:11,870 [0,0,1,2.1,[173.27342639756887, 236.1525188758644]]
2018-12-13 14:28:11,871 [0,0,1,2.2,[157.4078626780033, 229.79074163095993]]
2018-12-13 14:28:11,873 [1,0,1,2.0,[396.91209952130686, 743.9041293883489]]
2018-12-13 14:28:11,874 [1,0,1,2.1,[365.00660806606146, 722.1925358541978]]
2018-12-13 14:28:11,876 [1,0,1,2.2,[350.13949579280614, 674.1562297690534]]
2018-12-13 14:28:11,877 [0,1,1,2.0,[347.1060579361576, 602.5478088917248]]
2018-12-13 14:28:11,879 [0,1,1,2.1,[315.80630460392325, 551.0110362143353]]
2018-12-13 14:28:11,880 [0,1,1,2.2,[306.1762054907257, 549.3702772898902]]
2018-12-13 14:28:11,881 [1,1,1,2.0,[534.82760205768, 1091.081329776423]]
