s, r2, r3, Result
2.0, 3.805, 4.305, 442.2144082424389
2.0, 3.805, 4.3549999999999995, 444.79842489998725
2.0, 3.805, 4.404999999999999, 447.3794969000462
2.0, 3.805, 4.455, 449.9576268228974
2.0, 3.805, 4.505, 452.5328245858038
2.0, 3.805, 4.555, 455.10509274862557
2.0, 3.805, 4.6049999999999995, 457.6744337635614
2.0, 3.805, 4.654999999999999, 460.240857701637
2.0, 3.825, 4.305, 443.26026502563826
2.0, 3.825, 4.3549999999999995, 445.8442816831671
2.0, 3.825, 4.404999999999999, 448.4253512335858
2.0, 3.825, 4.455, 451.0034836042522
2.0, 3.825, 4.505, 453.5786813671989
2.0, 3.825, 4.555, 456.1509495300195
2.0, 3.825, 4.6049999999999995, 458.720290543057
2.0, 3.825, 4.654999999999999, 461.2867144811533
2.0, 3.845, 4.305, 444.3056420179992
2.0, 3.845, 4.3549999999999995, 446.8896586755489
2.0, 3.845, 4.404999999999999, 449.4707282241936
2.0, 3.845, 4.455, 452.0488605948609
2.0, 3.845, 4.505, 454.6240583578042
2.0, 3.845, 4.555, 457.1963265206081
2.0, 3.845, 4.6049999999999995, 459.7656675318182
2.0, 3.845, 4.654999999999999, 462.3320914699131
2.0, 3.865, 4.305, 445.35053954964303
2.0, 3.865, 4.3549999999999995, 447.93455620719163
2.0, 3.865, 4.404999999999999, 450.51562575407223
2.0, 3.865, 4.455, 453.09375812475935
2.0, 3.865, 4.505, 455.6689558877045
2.0, 3.865, 4.555, 458.2412215030027
2.0, 3.865, 4.6049999999999995, 460.8105650599011
2.0, 3.865, 4.654999999999999, 463.37698899797505
2.0, 3.8850000000000002, 4.305, 446.3949579503012
2.0, 3.8850000000000002, 4.3549999999999995, 448.9789721555264
2.0, 3.8850000000000002, 4.404999999999999, 451.5600441530364
2.0, 3.8850000000000002, 4.455, 454.13817652372285
2.0, 3.8850000000000002, 4.505, 456.7133742866675
2.0, 3.8850000000000002, 4.555, 459.28563990016306
2.0, 3.8850000000000002, 4.6049999999999995, 461.8549834570783
2.0, 3.8850000000000002, 4.654999999999999, 464.4214073951558
2.0, 3.9050000000000002, 4.305, 447.4388975494869
2.0, 3.9050000000000002, 4.3549999999999995, 450.0229117530275
2.0, 3.9050000000000002, 4.404999999999999, 452.6039837505191
2.0, 3.9050000000000002, 4.455, 455.18211612122445
2.0, 3.9050000000000002, 4.505, 457.7573113352979
2.0, 3.9050000000000002, 4.555, 460.3295794959099
