Time,CPU Usage
23:24:44,23.30
23:24:48,22.80
23:24:52,23.20
23:24:56,25.10
23:25:00,24.70
23:25:04,24.60
23:25:08,24.40
23:25:12,23.70
23:25:16,23.60
23:25:20,23.80
23:25:24,24.30
23:25:28,24.40
23:25:32,24.40
23:25:36,20.10
23:25:50,24.90
23:26:04,24.30
23:26:18,25.00
23:26:25,24.20
23:26:29,19.40
23:26:33,22.50
23:26:37,23.20
23:26:41,21.30
23:26:45,21.60
23:26:49,22.20
23:26:53,23.20
23:26:57,21.20
23:27:01,23.50
23:27:05,24.20
23:27:09,24.00
23:27:13,24.00
23:27:17,24.20
23:27:21,24.20
23:27:25,24.10
23:27:29,24.60
23:27:33,23.90
23:27:47,23.50
23:28:01,24.70
23:28:15,25.00
23:28:29,24.80
23:28:35,24.90
23:28:39,20.80
23:28:43,22.20
23:28:47,22.00
23:28:51,23.50
23:28:55,23.30
23:28:59,25.10
23:29:03,22.90
23:29:07,24.60
23:29:11,24.60
23:29:15,25.10
23:29:26,24.80
23:29:30,24.20
23:29:34,24.80
23:29:38,24.70
23:29:42,24.80
23:29:56,25.00
23:30:09,25.00
23:30:13,25.00
23:30:27,25.00
23:30:40,25.00
23:30:44,24.50
23:30:58,24.20
23:31:12,24.10
23:31:26,24.40
23:31:40,23.00
23:31:54,24.30
23:31:58,22.70
23:32:02,23.70
23:32:16,24.30
23:32:30,24.20
23:32:41,23.90
23:32:55,24.40
23:33:09,24.30
23:33:23,24.20
23:33:37,24.20
23:33:51,24.10
23:34:05,24.30
23:34:18,24.20
23:34:22,20.70
23:34:26,22.20
23:34:30,21.80
23:34:34,22.80
23:34:48,24.30
23:34:56,23.60
23:35:00,22.90
23:35:04,23.30
23:35:08,22.00
23:35:12,22.10
23:35:16,23.80
23:35:20,22.80
23:35:30,24.00
23:35:34,21.40
23:35:38,19.00
23:35:42,24.30
23:35:56,24.00
23:36:10,24.20
23:36:24,24.30
23:36:38,24.30
23:36:44,24.30
23:36:48,22.80
23:36:52,21.10
23:36:56,22.60
23:37:00,20.20
23:37:04,24.30
23:37:08,24.70
23:37:12,24.40
23:37:16,24.40
23:37:20,24.60
23:37:24,24.20
23:37:28,24.40
23:37:32,24.70
23:37:36,23.90
23:37:40,20.10
23:37:53,24.50
23:37:57,23.20
23:38:11,24.30
23:38:25,24.30
23:38:39,24.30
23:38:53,23.90
23:39:07,24.00
23:39:21,24.00
23:39:35,24.30
23:39:49,24.60
23:40:03,24.10
23:40:17,24.20
23:40:31,24.30
23:40:45,24.50
23:40:59,24.40
23:41:13,24.40
23:41:27,24.40
23:41:41,23.50
23:41:55,24.50
23:42:09,24.40
23:42:23,24.60
23:42:37,24.60
23:42:51,24.30
23:43:05,24.30
23:43:19,24.70
23:43:33,24.40
23:43:47,24.20
23:44:01,24.30
23:44:15,24.20
23:44:27,24.50
23:44:31,24.00
23:44:35,22.50
23:44:39,23.00
23:44:43,24.50
23:44:57,23.40
23:45:11,24.20
23:45:25,24.00
23:45:39,23.40
23:45:45,24.20
23:45:49,23.10
23:46:03,24.60
23:46:07,24.60
23:46:11,23.40
23:46:15,24.50
23:46:19,24.40
23:46:23,25.00
23:46:37,24.90
23:46:51,25.00
23:47:05,25.00
23:47:19,25.00
23:47:33,24.90
23:47:47,24.20
23:48:01,24.90
23:48:15,24.90
23:48:29,24.90
23:48:33,24.10
23:48:47,24.90
23:49:01,25.00
23:49:15,24.90
23:49:29,25.00
23:49:43,25.00
23:49:57,25.00
23:50:11,25.00
23:50:15,24.60
23:50:19,24.80
23:50:23,24.80
23:50:27,24.90
23:50:31,25.00
23:50:36,24.70
23:50:40,24.60
23:50:54,25.00
23:51:08,25.10
23:51:22,24.90
23:51:32,24.90
23:51:36,24.70
23:51:40,23.70
23:51:54,24.70
23:51:58,24.80
23:52:12,25.00
23:52:26,24.90
23:52:40,25.00
23:52:54,25.00
23:53:08,24.90
