Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,26.3071,,0,0,6.93318e-310,6.93318e-310,-1,-1,-1,-1,-1,,162.039,392.093,0,3.5,102,2,,214.856,389.566,0,4.52225,102.333,2,,367.989,788.791,0,-1,-1,2,,190.521,270.045,0,3.98389,101.333,2,,343.507,667.983,0,-1,-1,2,,396.459,663.947,0,-1,-1,2,,509.258,1066.81,0,-1,-1,4,,
Normal,39.0618,,4,4,204.361,237.105,0.760688,4,7.71378,190.521,270.045,,181.148,340.454,10000,3.5,89.9,4,,225.871,343.979,2000,4.45679,89,4,,407.019,678.433,2000,-1,-1,4,,204.361,237.105,0.760688,3.96523,90,4,,385.509,571.559,2000,-1,-1,4,,430.232,575.085,2000,-1,-1,4,,611.38,909.538,2000,-1,-1,4,,
Normal,42.1568,,4,4,206.417,239.391,1.5,4,0.579832,190.521,270.045,,6.93318e-310,6.93318e-310,1.4822e-323,3.5,89.9,1.9,,6.93318e-310,6.93318e-310,1.4822e-323,4.5,89,-0.2,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-2.3,,206.417,239.391,1.5,4.00705,90,4,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-6.5,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-8.6,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-10.7,,
Normal,52.4485,,4,4,203.092,235.695,1.5,4,0.717906,190.521,270.045,,6.93318e-310,6.93318e-310,1.4822e-323,3.5,89.9,1.9,,6.93318e-310,6.93318e-310,1.4822e-323,4.5,89,-0.2,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-2.3,,203.092,235.695,1.5,3.93944,90,4,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-6.5,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-8.6,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-10.7,,
Normal,62.3556,,4,4,205.308,238.158,1.5,4,0.586081,190.521,270.045,,6.93318e-310,6.93318e-310,1.4822e-323,3.5,89.9,1.9,,6.93318e-310,6.93318e-310,1.4822e-323,4.5,89,-0.2,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-2.3,,205.308,238.158,1.5,3.98449,90,4,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-6.5,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-8.6,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-10.7,,
Normal,72.4309,,4,4,203.569,236.225,1.5,4,0.5324,190.521,270.045,,6.93318e-310,6.93318e-310,1.4822e-323,3.5,89.9,1.9,,6.93318e-310,6.93318e-310,1.4822e-323,4.5,89,-0.2,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-2.3,,203.569,236.225,1.5,3.94913,90,4,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-6.5,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-8.6,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-10.7,,
Normal,82.6671,,4,4,204.251,236.983,1.5,4,0.675336,190.521,270.045,,6.93318e-310,6.93318e-310,1.4822e-323,3.5,89.9,1.9,,6.93318e-310,6.93318e-310,1.4822e-323,4.5,89,-0.2,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-2.3,,204.251,236.983,1.5,3.963,90,4,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-6.5,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-8.6,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-10.7,,
Normal,92.8735,,4,4,206.475,239.455,1.5,4,0.65259,190.521,270.045,,6.93318e-310,6.93318e-310,1.4822e-323,3.5,89.9,1.9,,6.93318e-310,6.93318e-310,1.4822e-323,4.5,89,-0.2,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-2.3,,206.475,239.455,1.5,4.00823,90,4,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-6.5,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-8.6,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-10.7,,
Normal,102.957,,4,4,206.554,239.543,1.5,4,0.51174,190.521,270.045,,6.93318e-310,6.93318e-310,1.4822e-323,3.5,89.9,1.9,,6.93318e-310,6.93318e-310,1.4822e-323,4.5,89,-0.2,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-2.3,,206.554,239.543,1.5,4.00984,90,4,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-6.5,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-8.6,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-10.7,,
Normal,113.077,,4,4,204.81,237.605,1.5,4,0.565902,190.521,270.045,,6.93318e-310,6.93318e-310,1.4822e-323,3.5,89.9,1.9,,6.93318e-310,6.93318e-310,1.4822e-323,4.5,89,-0.2,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-2.3,,204.81,237.605,1.5,3.97436,90,4,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-6.5,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-8.6,,6.93318e-310,6.93318e-310,1.4822e-323,-1,-1,-10.7,,
