Time,Local capability analysis,Select CLAs,Local control loop,Check for major changes
0,48.52,1.05,30.53,0.18
10,0,0,3.17,0.07
20,0,0,3.7,0.13
300,0,0,27.77,0.13
310,0,0,3.85,0.08
400,0,0,28.36,0.05
410,0,0,3.17,0.05
1000,0,0,33.6,0.05
1004,29.41,0.77,20.64,0.06
1114,27.82,1.16,27.77,0.07
1130,0,0,3.24,0.05
3014,0,0.72,24.34,0.07
3030,0,0,3.39,0.1
3030,0,0,0,0.1
3124,0,0.73,25.45,0.08
3140,0,0,32.47,0.07
4010,0,0,27.23,0.07
4044,0,0.5,26.53,0.07
4060,0,0,3.64,0.12
4070,0,0,4.64,0.12
4200,0,0,27.76,0.08
4210,0,0,3.44,0.06
4220,0,0,4.44,0.06
