n,Local capability analysis,Local control loop (1),Local control loop (2),CLA selection,Monolithic
0,0,0,0,0,0
1,1.583991799,1.409087369,0.553883027,-2,1.409087369
2,1.583991799,1.409087369,0.553883027,-1,6.627037963
3,1.583991799,1.409087369,0.553883027,-0.13270933,10.92932977
4,1.583991799,1.409087369,0.553883027,0.225464359,
5,1.583991799,1.409087369,0.553883027,0.524227305,
6,1.583991799,1.409087369,0.553883027,0.716011695,
7,1.583991799,1.409087369,0.553883027,0.888050254,
8,1.583991799,1.409087369,0.553883027,1.036257511,
9,1.583991799,1.409087369,0.553883027,1.186215879,
10,1.583991799,1.409087369,0.553883027,1.215708927,
11,1.583991799,1.409087369,0.553883027,1.339107447,
12,1.583991799,1.409087369,0.553883027,1.387339986,
13,1.583991799,1.409087369,0.553883027,1.480469752,
14,1.583991799,1.409087369,0.553883027,1.548712408,
15,1.583991799,1.409087369,0.553883027,1.647039507,
16,1.583991799,1.409087369,0.553883027,1.698231075,
17,1.583991799,1.409087369,0.553883027,1.754328456,
18,1.583991799,1.409087369,0.553883027,1.797729296,
19,1.583991799,1.409087369,0.553883027,1.850836083,
20,1.583991799,1.409087369,0.553883027,1.887148437,
21,1.583991799,1.409087369,0.553883027,1.916902225,
22,1.583991799,1.409087369,0.553883027,1.987241145,
23,1.583991799,1.409087369,0.553883027,2.028994362,
24,1.583991799,1.409087369,0.553883027,2.060198681,
25,1.583991799,1.409087369,0.553883027,2.098857879,
26,1.583991799,1.409087369,0.553883027,2.130497804,
27,1.583991799,1.409087369,0.553883027,2.152536311,
28,1.583991799,1.409087369,0.553883027,2.173874764,
29,1.583991799,1.409087369,0.553883027,2.212137511,
30,1.583991799,1.409087369,0.553883027,2.240736653,
31,1.583991799,1.409087369,0.553883027,2.247637724,
32,1.583991799,1.409087369,0.553883027,2.291196075,
