Time,CPU Usage
21:30:50,1.30
21:30:54,0.10
21:30:58,0.50
21:31:02,24.20
21:31:06,16.20
21:31:10,12.90
21:31:14,2.00
21:31:18,1.50
21:31:22,1.60
21:31:26,3.70
21:31:30,1.30
21:31:34,2.40
21:31:38,1.90
21:31:42,1.80
21:31:46,2.00
21:31:50,4.00
21:31:54,3.40
21:31:58,1.00
21:32:02,1.60
21:32:06,1.20
21:32:10,2.30
21:32:14,1.20
21:32:18,1.30
21:32:22,1.20
21:32:26,1.90
21:32:30,2.00
21:32:34,1.30
21:32:38,1.20
21:32:42,8.30
21:32:46,1.20
21:32:50,1.00
21:32:54,2.00
21:32:58,0.90
21:33:02,1.00
21:33:06,1.00
21:33:10,1.00
21:33:14,9.90
21:33:18,1.00
21:33:22,1.20
21:33:26,1.10
21:33:30,1.30
21:33:34,1.00
21:33:38,1.90
21:33:42,1.20
21:33:46,1.00
21:33:50,1.00
21:33:54,0.90
21:33:58,1.80
21:34:02,1.00
21:34:06,0.90
21:34:10,1.00
21:34:14,1.10
21:34:18,1.50
21:34:22,1.30
21:34:26,1.10
21:34:30,1.00
21:34:34,0.90
21:34:38,0.90
21:34:42,1.80
21:34:46,1.00
21:34:50,0.90
21:34:54,1.00
21:34:58,1.10
21:35:02,1.70
21:35:06,1.20
21:35:10,1.10
21:35:14,0.90
21:35:18,1.00
21:35:22,1.00
21:35:26,1.80
21:35:30,0.90
21:35:34,0.90
21:35:38,1.00
21:35:42,1.00
21:35:46,1.80
21:35:50,1.00
21:35:54,1.10
21:35:58,0.90
21:36:02,1.00
21:36:06,1.00
21:36:10,2.10
21:36:14,1.00
21:36:18,1.00
21:36:22,1.00
21:36:26,0.90
21:36:30,3.10
21:36:34,12.00
21:36:38,13.90
21:36:42,0.80
21:36:46,0.80
21:36:50,0.70
21:36:54,1.60
21:36:58,0.70
21:37:02,0.90
21:37:06,0.80
21:37:10,0.80
21:37:14,0.70
21:37:18,3.30
21:37:22,9.30
21:37:26,4.60
21:37:30,0.90
21:37:34,0.90
21:37:38,1.70
21:37:42,0.90
21:37:46,0.90
21:37:50,0.90
21:37:54,1.10
21:37:58,1.70
21:38:02,0.90
21:38:06,1.10
21:38:10,0.90
21:38:14,1.00
21:38:18,1.00
21:38:22,1.90
21:38:26,0.90
21:38:30,0.90
21:38:34,0.90
21:38:38,1.00
21:38:42,1.70
21:38:46,0.90
21:38:50,0.90
21:38:54,0.90
21:38:58,0.90
21:39:02,1.70
21:39:06,0.90
21:39:10,0.90
21:39:14,0.90
21:39:18,1.00
21:39:22,1.70
21:39:26,0.90
21:39:30,1.00
21:39:34,0.90
21:39:38,1.10
21:39:42,1.20
21:39:46,1.60
21:39:50,0.90
21:39:54,1.00
21:39:58,0.90
21:40:02,0.90
21:40:06,1.90
21:40:10,1.10
21:40:14,1.00
21:40:18,1.10
21:40:22,1.00
21:40:26,1.10
21:40:30,1.60
21:40:34,0.90
21:40:38,0.90
21:40:42,1.00
21:40:46,1.00
21:40:50,1.80
21:40:54,1.20
21:40:58,1.00
21:41:02,1.20
21:41:06,1.10
21:41:10,1.20
21:41:14,2.30
21:41:18,0.90
21:41:22,0.90
21:41:26,0.90
21:41:30,1.00
21:41:34,2.00
21:41:38,0.90
21:41:42,1.00
21:41:46,1.00
21:41:50,1.00
21:41:54,0.90
21:41:58,1.80
21:42:02,0.90
21:42:06,0.90
21:42:10,0.90
21:42:14,0.90
21:42:18,1.70
21:42:22,0.90
21:42:26,1.00
21:42:30,0.90
21:42:34,0.90
21:42:38,0.90
21:42:42,1.80
21:42:46,0.90
21:42:50,1.00
21:42:54,1.00
21:42:58,0.90
21:43:02,1.40
21:43:06,1.40
21:43:10,1.00
21:43:14,0.90
21:43:18,0.90
21:43:22,0.90
21:43:26,1.80
21:43:30,1.00
21:43:34,0.90
21:43:38,0.90
21:43:42,1.00
21:43:46,0.90
21:43:50,1.90
21:43:54,0.90
21:43:58,0.90
21:44:02,0.90
21:44:06,1.10
21:44:10,1.70
21:44:14,0.90
21:44:18,1.00
21:44:22,0.90
21:44:26,0.90
21:44:30,0.90
21:44:34,1.80
21:44:38,1.00
21:44:42,1.80
21:44:46,1.00
21:44:50,1.10
21:44:54,1.40
21:44:58,1.40
21:45:02,0.90
21:45:06,1.20
21:45:10,0.90
21:45:14,0.90
21:45:18,1.80
21:45:22,0.90
21:45:26,1.00
21:45:30,0.90
21:45:34,1.10
21:45:38,1.00
21:45:42,1.80
21:45:46,0.90
21:45:50,0.90
21:45:54,0.90
21:45:58,1.00
21:46:02,1.80
21:46:06,0.90
21:46:10,1.00
21:46:14,0.90
21:46:18,1.10
21:46:22,1.50
21:46:26,1.40
