Time,CPU Usage
41925.896440,1.1
41925.896487,0.2
41925.896535,14.8
41925.896579,21.2
41925.896625,15.6
41925.896672,3.5
41925.896718,1.2
41925.896764,1.1
41925.896811,1.6
41925.896857,1.6
41925.896903,2.1
41925.896950,2.4
41925.896996,2.7
41925.897042,1.4
41925.897088,1.4
41925.897135,1.4
41925.897181,4.2
41925.897227,1.3
41925.897274,0.9
41925.897320,1.0
41925.897366,1.0
41925.897413,3.0
41925.897459,1.0
41925.897505,2.6
41925.897552,0.8
41925.897598,1.0
41925.897644,1.1
41925.897690,1.9
41925.897737,0.8
41925.897783,0.9
41925.897829,0.9
41925.897876,0.8
41925.897922,1.7
41925.897968,0.9
41925.898015,1.6
41925.898061,1.0
41925.898107,1.0
41925.898153,0.8
41925.898200,1.7
41925.898246,0.9
41925.898292,0.8
41925.898339,0.8
41925.898385,0.8
41925.898431,2.1
41925.898478,0.8
41925.898524,0.9
41925.898570,0.8
41925.898617,1.0
41925.898663,0.8
41925.898709,1.6
41925.898755,0.9
41925.898802,1.8
41925.898848,0.8
41925.898894,0.8
41925.898941,1.4
41925.898987,0.8
41925.899033,1.0
41925.899080,0.9
41925.899126,0.9
41925.899172,0.7
41925.899219,1.6
41925.899265,0.8
41925.899311,0.7
41925.899357,0.8
41925.899404,0.8
41925.899450,1.4
41925.899496,1.1
41925.899543,0.9
41925.899589,0.8
41925.899635,0.8
41925.899682,0.8
41925.899728,1.4
41925.899774,0.8
41925.899821,0.7
41925.899867,0.8
41925.899913,0.8
41925.899959,1.2
41925.900006,1.0
41925.900052,1.0
41925.900098,1.0
41925.900145,0.9
41925.900191,0.7
41925.900237,1.5
41925.900284,0.7
41925.900330,0.8
41925.900376,0.9
41925.900423,0.9
41925.900469,6.7
41925.900515,1.8
41925.900562,1.0
41925.900608,1.0
41925.900654,1.0
41925.900700,1.0
41925.900747,1.8
41925.900793,1.0
41925.900839,1.0
41925.900886,1.0
41925.900932,1.1
41925.900978,8.8
41925.901025,0.8
41925.901071,0.9
41925.901117,0.8
41925.901164,0.9
41925.901210,0.8
41925.901256,1.7
41925.901303,0.8
41925.901349,0.7
41925.901395,0.8
41925.901441,1.0
41925.901488,1.4
41925.901534,0.8
41925.901580,0.9
41925.901627,0.7
41925.901673,0.9
41925.901719,0.7
41925.901766,1.4
41925.901812,0.7
41925.901858,0.8
41925.901905,0.8
41925.901951,0.8
41925.901997,1.2
41925.902044,1.2
41925.902090,0.8
41925.902136,0.8
41925.902183,0.8
41925.902229,0.9
41925.902275,1.5
41925.902322,0.8
41925.902368,1.0
41925.902414,0.9
41925.902460,1.0
41925.902507,1.1
41925.902553,1.5
41925.902599,0.9
41925.902646,0.9
41925.902692,1.0
41925.902738,0.9
41925.902785,1.8
41925.902831,0.9
41925.902877,1.3
41925.902924,0.9
41925.902970,1.0
41925.903016,1.5
41925.903063,0.7
41925.903109,0.9
41925.903155,0.8
41925.903201,0.9
41925.903248,0.8
41925.903294,1.5
41925.903340,0.8
41925.903387,0.9
41925.903433,1.0
41925.903479,1.3
41925.903526,1.2
41925.903572,1.4
41925.903618,0.9
41925.903664,0.8
41925.903711,0.8
41925.903757,0.9
41925.903803,1.3
41925.903850,0.8
41925.903896,0.8
41925.903942,0.7
41925.903989,0.7
41925.904035,1.3
41925.904081,1.0
41925.904128,0.9
41925.904174,0.8
41925.904220,0.8
41925.904266,0.8
41925.904313,1.6
41925.904359,0.7
41925.904405,0.8
41925.904452,0.8
41925.904498,0.7
41925.904544,1.0
41925.904591,1.3
41925.904637,0.8
41925.904683,0.7
41925.904730,0.7
41925.904776,0.7
41925.904822,1.4
41925.904868,0.7
41925.904915,0.8
41925.904961,0.7
41925.905007,0.8
41925.905054,1.4
41925.905100,0.7
41925.905146,0.9
41925.905193,0.8
41925.905239,1.0
41925.905285,0.8
41925.905331,1.4
41925.905378,0.8
41925.905424,0.9
41925.905470,0.8
41925.905517,0.7
41925.905563,1.5
41925.905609,0.8
41925.905656,1.9
41925.905702,0.8
41925.905748,0.9
41925.905795,0.7
41925.905841,1.6
41925.905887,0.8
41925.905934,0.7
41925.905980,0.8
41925.906026,0.8
41925.906072,1.5
41925.906119,0.8
41925.906165,1.0
41925.906211,0.9
41925.906258,1.0
41925.906304,0.9
41925.906350,1.5
41925.906397,0.8
41925.906443,1.1
41925.906489,0.8
41925.906536,0.8
41925.906582,1.5
41925.906628,0.7
41925.906674,0.9
41925.906721,0.8
41925.906767,0.8
41925.906813,0.8
41925.906860,1.5
41925.906906,0.8
41925.906952,0.8
41925.906999,0.7
41925.907045,0.8
41925.907091,1.4
41925.907138,0.8
41925.907184,0.9
41925.907230,0.7
41925.907277,0.7
41925.907323,0.7
41925.907369,1.4
41925.907415,0.8
41925.907462,0.7
41925.907508,0.7
41925.907554,0.8
41925.907601,1.2
41925.907647,1.1
41925.907693,0.9
41925.907740,0.7
41925.907786,0.9
41925.907832,0.8
41925.907879,1.5
41925.907925,1.3
41925.907971,0.8
41925.908018,0.7
41925.908064,0.7
41925.908110,1.0
41925.908156,8.0
41925.908203,1.1
41925.908249,1.0
41925.908295,1.2
41925.908342,1.1
41925.908388,2.0
41925.908434,1.2
41925.908481,1.1
41925.908527,1.1
41925.908573,7.5
41925.908620,1.6
41925.908666,0.8
41925.908712,1.4
41925.908759,0.8
41925.908805,0.9
41925.908851,0.8
41925.908898,1.6
41925.908944,0.7
41925.908990,0.7
41925.909036,0.8
41925.909083,0.7
41925.909129,1.8
41925.909175,0.7
41925.909222,1.0
41925.909268,0.7
41925.909314,0.8
41925.909361,0.7
41925.909407,1.5
41925.909453,0.8
41925.909499,0.8
41925.909546,0.7
41925.909592,0.8
41925.909638,1.6
41925.909685,0.7
41925.909731,0.9
41925.909777,0.8
41925.909824,0.9
41925.909870,0.8
41925.909916,1.5
41925.909963,0.7
41925.910009,0.8
41925.910055,0.7
41925.910101,0.9
41925.910148,1.4
41925.910194,0.8
41925.910240,0.9
41925.910287,0.7
41925.910333,0.9
41925.910379,0.8
41925.910426,1.5
41925.910472,0.7
41925.910518,0.7
41925.910565,0.8
41925.910611,0.7
41925.910657,1.4
41925.910703,1.0
41925.910750,0.9
41925.910796,0.8
41925.910842,1.1
41925.910889,0.9
41925.910935,1.6
41925.910981,0.8
41925.911028,0.8
41925.911074,0.8
41925.911120,0.9
41925.911166,1.5
41925.911213,0.7
41925.911259,0.9
41925.911305,0.8
41925.911352,0.8
41925.911398,0.7
41925.911444,1.5
41925.911491,0.7
41925.911537,0.7
41925.911583,0.8
41925.911630,0.8
41925.911676,1.4
41925.911722,0.8
41925.911769,0.8
41925.911815,0.7
41925.911861,0.7
41925.911907,0.7
41925.911954,1.6
41925.912000,0.7
41925.912046,0.8
41925.912093,7.7
41925.912139,1.0
41925.912185,0.9
41925.912232,1.6
41925.912278,0.8
41925.912324,0.8
41925.912370,0.7
41925.912417,0.9
41925.912463,1.8
41925.912509,0.9
41925.912556,0.9
41925.912602,1.2
41925.912648,0.9
41925.912695,0.8
41925.912741,1.6
41925.912787,0.8
41925.912834,0.8
41925.912880,0.9
41925.912926,0.7
41925.912973,1.5
41925.913019,0.8
41925.913065,0.9
41925.913111,0.7
41925.913158,0.9
41925.913204,0.7
41925.913250,1.4
41925.913297,0.9
41925.913343,0.8
41925.913389,0.7
41925.913436,0.8
41925.913482,1.5
41925.913528,1.0
41925.913574,1.0
41925.913621,1.0
41925.913667,0.9
41925.913713,0.8
41925.913760,1.4
41925.913806,0.7
41925.913852,0.7
41925.913899,0.9
41925.913945,0.7
41925.913991,1.4
41925.914038,1.3
41925.914084,0.7
41925.914130,0.9
41925.914177,1.1
41925.914223,0.7
41925.914269,1.8
41925.914315,0.8
41925.914362,1.0
41925.914408,0.7
41925.914454,1.4
41925.914501,1.8
41925.914547,0.9
41925.914593,1.1
41925.914640,0.8
41925.914686,1.1
41925.914732,1.2
41925.914779,0.8
41925.914825,0.8
41925.914871,0.7
41925.914917,0.9
41925.914964,0.7
41925.915010,1.4
41925.915056,0.8
41925.915103,0.7
41925.915149,0.8
41925.915195,0.8
41925.915242,1.4
41925.915288,0.9
41925.915334,0.9
41925.915380,0.7
41925.915427,2.0
41925.915473,0.7
41925.915519,1.4
41925.915566,0.7
41925.915612,0.8
41925.915658,0.8
41925.915705,0.7
41925.915751,1.2
41925.915797,1.0
41925.915844,0.8
41925.915890,0.7
41925.915936,0.0
