Time,CPU Usage
41925.896378,1.2
41925.896424,0.1
41925.896471,0.4
41925.896517,7.1
41925.896563,23.7
41925.896610,16.8
41925.896656,5.4
41925.896702,2.0
41925.896748,2.8
41925.896795,1.7
41925.896841,1.9
41925.896887,1.4
41925.896934,2.6
41925.896980,2.2
41925.897026,2.6
41925.897073,1.1
41925.897119,2.6
41925.897165,3.5
41925.897212,1.3
41925.897258,2.6
41925.897304,1.4
41925.897350,1.0
41925.897397,1.1
41925.897443,1.0
41925.897489,2.5
41925.897536,0.9
41925.897582,1.0
41925.897628,1.2
41925.897675,1.0
41925.897721,2.0
41925.897767,1.0
41925.897813,1.0
41925.897860,1.1
41925.897906,1.0
41925.897952,2.6
41925.897999,1.0
41925.898045,1.0
41925.898091,1.0
41925.898138,1.1
41925.898184,1.3
41925.898230,2.1
41925.898276,1.1
41925.898323,1.0
41925.898369,1.0
41925.898415,1.1
41925.898462,1.8
41925.898508,1.0
41925.898554,1.1
41925.898601,1.1
41925.898647,0.9
41925.898693,1.0
41925.898740,2.1
41925.898786,1.1
41925.898832,1.0
41925.898878,1.1
41925.898925,1.0
41925.898971,2.0
41925.899017,1.0
41925.899064,0.9
41925.899110,1.0
41925.899156,1.0
41925.899203,1.8
41925.899249,1.0
41925.899295,1.0
41925.899341,1.0
41925.899388,1.0
41925.899434,0.9
41925.899480,3.1
41925.899527,1.1
41925.899573,1.0
41925.899619,1.0
41925.899666,0.9
41925.899712,1.8
41925.899758,1.0
41925.899805,0.9
41925.899851,1.0
41925.899897,1.0
41925.899944,1.6
41925.899990,1.1
41925.900036,1.1
41925.900082,1.2
41925.900129,1.2
41925.900175,0.9
41925.900221,1.9
41925.900268,1.1
41925.900314,0.9
41925.900360,0.9
41925.900407,0.9
41925.900453,3.1
41925.900499,5.0
41925.900546,1.0
41925.900592,1.0
41925.900638,1.0
41925.900685,1.9
41925.900731,0.9
41925.900777,0.9
41925.900823,1.0
41925.900870,0.9
41925.900916,1.6
41925.900962,5.1
41925.901009,2.7
41925.901055,0.9
41925.901101,1.0
41925.901148,1.1
41925.901194,1.9
41925.901240,1.0
41925.901287,1.0
41925.901333,1.1
41925.901379,0.9
41925.901426,1.8
41925.901472,1.0
41925.901518,1.0
41925.901565,1.1
41925.901611,1.0
41925.901657,1.9
41925.901703,1.1
41925.901750,1.2
41925.901796,1.0
41925.901842,1.0
41925.901889,1.8
41925.901935,1.0
41925.901981,0.9
41925.902028,1.0
41925.902074,1.0
41925.902120,1.8
41925.902167,0.9
41925.902213,1.0
41925.902259,1.0
