Time,Local capability analysis,Select CLAs,Local control loop,Check for major changes
0,48.52,1.05,30.53,0.18
10,,,3.17,0.07
20,,,3.7,0.13
300,,,27.77,0.13
310,,,3.85,0.08
400,,,28.36,0.05
410,,,3.17,0.05
1000,,,33.6,0.05
1004,29.41,0.77,20.64,0.06
1114,27.82,1.16,27.77,0.07
1130,,,3.24,0.05
3014,,0.72,24.34,0.07
3030,,,3.39,0.1
3030,,,,0.1
3124,,0.73,25.45,0.08
3140,,,32.47,0.07
4010,,,27.23,0.07
4044,,0.5,26.53,0.07
4060,,,3.64,0.12
4070,,,4.64,0.12
4200,,,27.76,0.08
4210,,,3.44,0.06
4220,,,4.44,0.06
