Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,24.5638,,0,0,6.93016e-310,6.93016e-310,-1,-1,-1,-1,-1,,184.725,354.927,0,3.5,102,2,,236.306,359.313,0,4.51151,102.333,2,,417.777,713.136,0,-1,-1,2,,212.761,246.556,0,3.97442,101.333,2,,394.179,599.899,0,-1,-1,2,,445.809,603.723,0,-1,-1,2,,626.347,958.776,0,-1,-1,2,,
Normal,36.4364,,2,2,236.608,343.969,1.06775,2.9,6.84692,236.306,359.313,,181.148,340.454,10000,3.5,94.2,4,,236.608,343.969,1.06775,4.45665,93.2333,2.9,,407.013,678.423,2000,-1,-1,4,,204.557,237.323,10000,3.96921,96.1333,4,,385.705,571.777,2000,-1,-1,4,,430.421,575.292,2000,-1,-1,4,,611.569,909.746,2000,-1,-1,4,,
Normal,40.2984,,2,2,236.631,350.345,1.64516,3.1,0.598995,236.306,359.313,,6.93016e-310,6.93016e-310,1.4822e-323,3.5,93.8,1.9,,236.631,350.345,1.64516,4.54746,91.475,3.1,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-2.3,,6.93016e-310,6.93016e-310,1.4822e-323,3.95432,92.25,-4.4,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-6.5,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-8.6,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-10.7,,
Normal,50.4527,,2,2,236.856,342.671,1.74074,2.7,0.614074,236.306,359.313,,6.93016e-310,6.93016e-310,1.4822e-323,3.5,94.6,1.9,,236.856,342.671,1.74074,4.43818,93.7,2.7,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-2.3,,6.93016e-310,6.93016e-310,1.4822e-323,4.04367,96.4,-4.4,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-6.5,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-8.6,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-10.7,,
Normal,60.5407,,2,2,236.847,341.841,1.76923,2.6,0.53586,236.306,359.313,,6.93016e-310,6.93016e-310,1.4822e-323,3.5,94.8,1.9,,236.847,341.841,1.76923,4.42638,93.9333,2.6,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-2.3,,6.93016e-310,6.93016e-310,1.4822e-323,3.93456,96.5333,-4.4,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-6.5,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-8.6,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-10.7,,
Normal,70.6157,,2,2,236.846,344.302,1.68966,2.9,0.523072,236.306,359.313,,6.93016e-310,6.93016e-310,1.4822e-323,3.5,94.2,1.9,,236.846,344.302,1.68966,4.46139,93.2333,2.9,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-2.3,,6.93016e-310,6.93016e-310,1.4822e-323,3.96568,96.1333,-4.4,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-6.5,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-8.6,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-10.7,,
Normal,80.9431,,2,2,236.441,344.564,1.66667,3,0.772032,236.306,359.313,,6.93016e-310,6.93016e-310,1.4822e-323,3.5,94,1.9,,236.441,344.564,1.66667,4.46511,93,3,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-2.3,,6.93016e-310,6.93016e-310,1.4822e-323,3.96898,96,-4.4,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-6.5,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-8.6,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-10.7,,
Normal,90.7467,,2,2,236.868,345.161,1.66667,3,0.516951,236.306,359.313,,6.93016e-310,6.93016e-310,1.4822e-323,3.5,94,1.9,,236.868,345.161,1.66667,4.47361,93,3,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-2.3,,6.93016e-310,6.93016e-310,1.4822e-323,3.97654,96,-4.4,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-6.5,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-8.6,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-10.7,,
Normal,100.803,,2,2,236.411,338.018,1.90909,2.2,0.508962,236.306,359.313,,6.93016e-310,6.93016e-310,1.4822e-323,3.5,95.6,1.9,,236.411,338.018,1.90909,4.37206,94.8667,2.2,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-2.3,,6.93016e-310,6.93016e-310,1.4822e-323,3.9746,97.0667,-4.4,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-6.5,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-8.6,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-10.7,,
Normal,111.064,,2,2,237.34,345.821,1.66667,3,0.733926,236.306,359.313,,6.93016e-310,6.93016e-310,1.4822e-323,3.5,94,1.9,,237.34,345.821,1.66667,4.48301,93,3,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-2.3,,6.93016e-310,6.93016e-310,1.4822e-323,3.9849,96,-4.4,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-6.5,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-8.6,,6.93016e-310,6.93016e-310,1.4822e-323,-1,-1,-10.7,,
