Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,24.8195,,0,0,6.93429e-310,6.93429e-310,-1,-1,-1,-1,-1,,261.582,487.536,0,5,102,2,,240.276,362.478,0,4.52479,101.333,2,,498.938,848.351,0,-1,-1,2,,263.008,306.832,0,5.06346,102.333,2,,521.719,792.235,0,-1,-1,2,,500.376,666.751,0,-1,-1,2,,706.477,1153.79,0,-1,-1,4,,
Normal,37.0869,,4,4,263.105,292.956,0.933593,3,7.23132,263.008,306.832,,251.843,470.827,10000,5,94,4,,229.622,345.731,10000,4.48173,96,4,,481.465,810.559,2000,-1,-1,4,,263.105,292.956,0.933593,4.99885,93,3,,506.178,757.783,2000,-1,-1,4,,483.956,632.687,2000,-1,-1,4,,735.799,1097.51,2000,-1,-1,4,,
Normal,37.8151,,4,4,263.027,291.459,1.71429,2.8,0.722847,263.008,306.832,,6.93429e-310,6.93429e-310,1.4822e-323,5,94.4,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,96.2667,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,263.027,291.459,1.71429,4.97084,93.4667,2.8,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,43.2581,,4,4,263.136,292.989,1.66667,3,1.16278,263.008,306.832,,6.93429e-310,6.93429e-310,1.4822e-323,5,94,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,96,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,263.136,292.989,1.66667,4.99948,93,3,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,47.9153,,4,4,264.226,294.161,1.66667,3,0.644678,263.008,306.832,,6.93429e-310,6.93429e-310,1.4822e-323,5,94,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,96,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,264.226,294.161,1.66667,5.02143,93,3,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,53.0339,,4,4,264.534,294.493,1.66667,3,0.591631,263.008,306.832,,6.93429e-310,6.93429e-310,1.4822e-323,5,94,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,96,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,264.534,294.493,1.66667,5.02765,93,3,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,58.1938,,4,4,263.463,287.084,1.95238,2.1,0.638218,263.008,306.832,,6.93429e-310,6.93429e-310,1.4822e-323,5,95.8,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,97.2,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,263.463,287.084,1.95238,4.88904,95.1,2.1,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,63.3425,,4,4,264.898,294.884,1.66667,3,0.622986,263.008,306.832,,6.93429e-310,6.93429e-310,1.4822e-323,5,94,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,96,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,264.898,294.884,1.66667,5.03498,93,3,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,68.4872,,4,4,263.209,295.609,1.64516,3.1,0.616638,263.008,306.832,,6.93429e-310,6.93429e-310,1.4822e-323,5,93.8,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,92.25,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,263.209,295.609,1.64516,5.04856,92.1725,3.1,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
VIOLATION,77.6175,,4,4,254.089,285.713,1.64516,3.1,4.60647,263.008,306.832,,251.843,470.827,10000,5,93.8,4,,230.51,347.014,10000,4.5,92.25,4,,482.353,811.842,2000,-1,-1,4,,247.825,285.713,10000,4.86344,92.1725,4,,499.668,750.54,2000,-1,-1,4,,478.335,626.728,2000,-1,-1,4,,730.178,1091.55,2000,-1,-1,4,,
DECIDE,81.8531,,4,4,244.392,296.189,1.64516,3.1,-1,263.008,306.832,,261.582,487.536,0,5,93.8,2,,238.967,360.745,0,4.5,92.25,2,,497.629,846.619,0,-1,-1,2,,252.773,296.189,0,4.86344,92.1725,2,,511.477,781.599,0,-1,-1,2,,488.825,654.384,0,-1,-1,2,,695.605,1141.42,0,-1,-1,4,,
Normal,90.8896,,4,4,257.422,295.588,0.781188,3.9,4.00954,252.773,296.189,,251.843,470.827,10000,5,89.275,4,,230.51,347.014,10000,4.5,90.25,4,,482.353,811.842,2000,-1,-1,4,,257.422,295.588,0.781188,5.04817,90.1525,3.9,,508.544,760.415,2000,-1,-1,4,,487.211,636.602,2000,-1,-1,4,,739.054,1101.43,2000,-1,-1,4,,
Normal,92.4987,,4,4,253.821,291.593,1.51282,3.9,0.594567,252.773,296.189,,6.93429e-310,6.93429e-310,1.4822e-323,5,89.275,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,90.25,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,253.821,291.593,1.51282,4.97334,90.1525,3.9,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,97.4095,,4,4,253.353,287.192,1.58824,3.4,0.393966,252.773,296.189,,6.93429e-310,6.93429e-310,1.4822e-323,5,93.2,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,91.5,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,253.353,287.192,1.58824,4.89105,91.415,3.4,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,102.583,,4,4,256.661,294.744,1.51282,3.9,0.401772,252.773,296.189,,6.93429e-310,6.93429e-310,1.4822e-323,5,89.275,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,90.25,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,256.661,294.744,1.51282,5.03235,90.1525,3.9,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,107.746,,4,4,255.638,293.609,1.51282,3.9,0.374373,252.773,296.189,,6.93429e-310,6.93429e-310,1.4822e-323,5,89.275,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,90.25,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,255.638,293.609,1.51282,5.01109,90.1525,3.9,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,112.928,,4,4,257.597,295.783,1.51282,3.9,0.411258,252.773,296.189,,6.93429e-310,6.93429e-310,1.4822e-323,5,89.275,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,90.25,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,257.597,295.783,1.51282,5.05182,90.1525,3.9,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,118.142,,4,4,255.854,293.849,1.51282,3.9,0.440858,252.773,296.189,,6.93429e-310,6.93429e-310,1.4822e-323,5,89.275,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,90.25,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,255.854,293.849,1.51282,5.01558,90.1525,3.9,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,123.265,,4,4,254.447,292.287,1.51282,3.9,0.349074,252.773,296.189,,6.93429e-310,6.93429e-310,1.4822e-323,5,89.275,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,90.25,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,254.447,292.287,1.51282,4.98634,90.1525,3.9,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
VIOLATION,131.595,,4,4,258.523,296.81,1.51282,3.9,3.55234,252.773,296.189,,251.843,470.827,10000,5,89.275,4,,230.51,347.014,10000,4.5,90.25,4,,482.353,811.842,2000,-1,-1,4,,257.799,296.81,2000,5.07109,90.1525,4,,509.642,761.637,2000,-1,-1,4,,488.309,637.825,2000,-1,-1,4,,740.152,1102.65,2000,-1,-1,4,,
DECIDE,136.16,,4,4,249.083,307.237,1.51282,3.9,-1,252.773,296.189,,261.582,487.536,0,5,89.275,2,,238.967,360.745,0,4.5,90.25,2,,497.629,846.619,0,-1,-1,2,,263.397,307.237,0,5.07109,90.1525,2,,522.108,792.64,0,-1,-1,2,,499.456,665.424,0,-1,-1,2,,705.633,1152.46,0,-1,-1,4,,
Normal,146.402,,4,4,263.706,290.088,1.0647,2.5,5.21288,263.397,307.237,,251.843,470.827,10000,5,95,4,,230.51,347.014,10000,4.5,96.6667,4,,482.353,811.842,2000,-1,-1,4,,263.706,290.088,1.0647,4.94519,94.1667,2.5,,503.6,754.915,2000,-1,-1,4,,482.267,631.103,2000,-1,-1,4,,734.11,1095.93,2000,-1,-1,4,,
Normal,146.952,,4,4,264.051,291.851,1.74074,2.7,0.543069,263.397,307.237,,6.93429e-310,6.93429e-310,1.4822e-323,5,94.6,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,96.4,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,264.051,291.851,1.74074,4.97818,93.7,2.7,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
Normal,151.853,,4,4,263.763,299.382,1.57143,3.5,0.36529,263.397,307.237,,6.93429e-310,6.93429e-310,1.4822e-323,5,93,1.9,,6.93429e-310,6.93429e-310,1.4822e-323,4.5,91.25,-0.2,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-2.3,,263.763,299.382,1.57143,5.11935,91.1625,3.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-6.5,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-8.6,,6.93429e-310,6.93429e-310,1.4822e-323,-1,-1,-10.7,,
VIOLATION,160.698,,4,4,251.351,285.763,1.57143,3.5,4.07181,263.397,307.237,,251.843,470.827,10000,5,93,4,,230.51,347.014,10000,4.5,91.25,4,,482.353,811.842,2000,-1,-1,4,,247.87,285.763,10000,4.86437,91.1625,4,,499.713,750.59,2000,-1,-1,4,,478.38,626.778,2000,-1,-1,4,,730.223,1091.6,2000,-1,-1,4,,
DECIDE,164.997,,4,4,241.76,296.238,1.57143,3.5,-1,263.397,307.237,,261.582,487.536,0,5,93,2,,238.967,360.745,0,4.5,91.25,2,,497.629,846.619,0,-1,-1,2,,252.821,296.238,0,4.86437,91.1625,2,,511.525,781.648,0,-1,-1,2,,488.873,654.433,0,-1,-1,2,,695.65,1141.47,0,-1,-1,4,,
