Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp
DECIDE,20.979,,0,0,6.92639e-310,6.92639e-310,-1,-1,-1,-1,-1,,263.229,484.813,0,5,102,2,,241.374,359.459,0,4.5136,101.333,2,,501.372,843.077,0,-1,-1,2,,258.511,298.749,0,4.94347,102.333,2,,518.559,781.851,0,-1,-1,2,,496.663,656.026,0,-1,-1,2,,704.197,1140.81,0,-1,-1,4
Normal,30.4416,,4,4,259.113,291.165,0.910772,3.1,4.43437,258.511,298.749,,251.843,470.827,10000,5,93.8,4,,229.959,346.218,10000,4.48866,92.25,4,,481.802,811.045,2000,-1,-1,4,,259.113,291.165,0.910772,4.96533,92.1725,3.1,,504.568,755.992,2000,-1,-1,4,,482.684,631.383,2000,-1,-1,4,,734.527,1096.21,2000,-1,-1,4
Normal,31.5729,,4,4,258.918,282.974,1.90909,2.2,0.373132,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,95.6,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,97.0667,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.918,282.974,1.90909,4.81232,94.8667,2.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,36.635,,4,4,259.206,295.172,1.55556,3.6,0.27701,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,90.1,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,91,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.206,295.172,1.55556,5.04037,90.91,3.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,41.7205,,4,4,260.342,289.985,1.66667,3,0.305036,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,260.342,289.985,1.66667,4.94325,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,46.7592,,4,4,259.004,288.546,1.66667,3,0.259874,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.004,288.546,1.66667,4.91635,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,51.8551,,4,4,258.994,291.035,1.64516,3.1,0.31841,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93.8,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,92.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.994,291.035,1.64516,4.9629,92.1725,3.1,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,57.513,,4,4,259.512,297.907,1.51282,3.9,0.869964,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,89.275,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,90.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.512,297.907,1.51282,5.09166,90.1525,3.9,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,62.1859,,4,4,258.744,285.501,1.76923,2.6,0.398238,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94.8,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96.5333,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.744,285.501,1.76923,4.85948,93.9333,2.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,67.6827,,4,4,258.556,293.668,1.57143,3.5,0.707597,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,91.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.556,293.668,1.57143,5.0122,91.1625,3.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
