Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,19.2793,,0,0,6.93337e-310,6.93337e-310,-1,-1,-1,-1,-1,,271.383,479.191,0,5,101.143,2,,211.533,316.432,0,3.96858,102.333,2,,481.453,791.809,0,-1,-1,2,,239.371,271.715,0,4.50488,102.333,2,,509.3,746.854,0,-1,-1,2,,449.45,583.894,0,-1,-1,2,,669.774,1059.85,0,-1,-1,4,,
Normal,28.6706,,5,5,512.039,731.614,1.37398,3,4.35397,509.3,746.854,,254.673,470.827,10000,5,96.5714,4,,203.789,308.738,10000,3.95821,93,4,,458.461,773.565,10000,-1,-1,4,,228.502,266.787,10000,4.51151,93,4,,512.039,731.614,1.37398,-1,-1,3,,432.291,569.525,10000,-1,-1,4,,686.963,1034.35,2000,-1,-1,4,,
Normal,29.925,,5,5,510.068,727.088,1.8,2.5,0.494312,509.3,746.854,,6.93337e-310,6.93337e-310,1.4822e-323,5.08135,97.1429,1.9,,6.93337e-310,6.93337e-310,1.4822e-323,4.10417,94.1667,-0.2,,6.93337e-310,6.93337e-310,1.4822e-323,-1,-1,-2.3,,6.93337e-310,6.93337e-310,1.4822e-323,4.2996,94.1667,-4.4,,510.068,727.088,1.8,-1,-1,2.5,,6.93337e-310,6.93337e-310,1.4822e-323,-1,-1,-8.6,,6.93337e-310,6.93337e-310,1.4822e-323,-1,-1,-10.7,,
Normal,34.9936,,5,5,509.763,733.036,1.64516,3.1,0.537095,509.3,746.854,,6.93337e-310,6.93337e-310,1.4822e-323,4.97519,96.4571,1.9,,6.93337e-310,6.93337e-310,1.4822e-323,3.98015,92.1725,-0.2,,6.93337e-310,6.93337e-310,1.4822e-323,-1,-1,-2.3,,6.93337e-310,6.93337e-310,1.4822e-323,4.57717,91.475,-4.4,,509.763,733.036,1.64516,-1,-1,3.1,,6.93337e-310,6.93337e-310,1.4822e-323,-1,-1,-8.6,,6.93337e-310,6.93337e-310,1.4822e-323,-1,-1,-10.7,,
VIOLATION,42.7486,,5,5,495.15,715.595,1.64516,3.1,3.21684,509.3,746.854,,251.065,464.413,10000,4.92499,96.4571,4,,202.893,307.443,10000,3.93999,92.1725,4,,453.958,765.855,10000,-1,-1,4,,219.955,257.182,10000,4.33399,91.475,4,,471.02,715.595,10000,-1,-1,4,,422.848,558.624,10000,-1,-1,4,,673.913,1017.04,2000,-1,-1,4,,
DECIDE,45.3576,,5,5,483.804,731.232,1.64516,3.1,-1,509.3,746.854,,267.458,472.791,0,4.92499,96.4571,2,,210.039,314.404,0,3.93999,92.1725,2,,476.032,783.384,0,-1,-1,2,,230.537,262.489,0,4.33399,91.475,2,,496.537,731.232,0,-1,-1,2,,439.12,572.644,0,-1,-1,2,,656.497,1042.21,0,-1,-1,4,,
Normal,52.7725,,5,5,502.344,729.355,1.27802,3.5,2.37927,496.537,731.232,,253.372,468.515,10000,4.97295,96,4,,203.874,308.861,10000,3.95994,91.1625,4,,457.246,771.376,10000,-1,-1,4,,228.549,266.839,10000,4.51249,90.375,4,,502.344,729.355,1.27802,-1,-1,3.5,,432.423,569.701,10000,-1,-1,4,,685.795,1032.22,2000,-1,-1,4,,
Normal,55.8394,,5,5,496.617,716.12,1.625,3.2,0.294164,496.537,731.232,,6.93337e-310,6.93337e-310,1.4822e-323,4.85014,96.3429,1.9,,6.93337e-310,6.93337e-310,1.4822e-323,4.07411,91.92,-0.2,,6.93337e-310,6.93337e-310,1.4822e-323,-1,-1,-2.3,,6.93337e-310,6.93337e-310,1.4822e-323,4.46213,91.2,-4.4,,496.617,716.12,1.625,-1,-1,3.2,,6.93337e-310,6.93337e-310,1.4822e-323,-1,-1,-8.6,,6.93337e-310,6.93337e-310,1.4822e-323,-1,-1,-10.7,,
VIOLATION,63.7819,,5,5,514.374,743.603,1.625,3.2,3.16474,496.537,731.232,,260.717,481.575,10000,5.12597,96.3429,4,,203.043,307.66,10000,3.94305,91.92,4,,463.761,783.235,10000,-1,-1,4,,229.607,268.028,10000,4.53451,91.2,4,,490.324,743.603,10000,-1,-1,4,,432.65,569.688,10000,-1,-1,4,,693.367,1045.26,2000,-1,-1,4,,
DECIDE,66.0844,,5,5,503.103,759.169,1.625,3.2,-1,496.537,731.232,,277.961,489.915,0,5.12597,96.3429,2,,210.199,314.621,0,3.94305,91.92,2,,486.698,800.719,0,-1,-1,2,,240.899,273.311,0,4.53451,91.2,2,,517.408,759.169,0,-1,-1,2,,449.645,583.679,0,-1,-1,2,,676.004,1070.36,0,-1,-1,4,,
Normal,73.2311,,4,4,241.214,264.935,1.12809,2.3,2.11296,240.899,273.311,,252.439,466.855,2000,4.95354,97.3714,4,,201.205,305.002,10000,3.90568,94.6333,4,,453.644,765.857,2000,-1,-1,4,,241.214,264.935,1.12809,4.47724,94.6333,2.3,,479.294,725.791,2000,-1,-1,4,,428.06,563.937,2000,-1,-1,4,,680.499,1024.79,2000,-1,-1,4,,
