Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,19.0762,,0,0,6.92842e-310,6.92842e-310,-1,-1,-1,-1,-1,,188.236,349.109,0,3.5,102,2,,239.704,354.682,0,4.51134,102.333,2,,426.473,700.006,0,-1,-1,2,,216.274,242.95,0,3.97427,101.333,2,,403.019,588.058,0,-1,-1,2,,454.509,593.376,0,-1,-1,2,,640.815,939.315,0,-1,-1,2,,
Normal,28.7038,,0,0,205.804,238.71,0.760919,0.1,4.5914,-1,10000,,181.657,340.454,0.88495,3.5,99.8,3.9,,231.253,347.717,0.935624,4.51001,99.7667,3.6,,414.437,682.171,1.30119,-1,-1,3.6,,205.804,238.71,0.760919,3.99458,99.8667,4,,388.033,573.163,1.13931,-1,-1,3.9,,439.344,580.427,1.18998,-1,-1,3.6,,622.528,914.88,1.55556,-1,-1,3.6,,
Normal,31.7903,,0,0,206.071,239.006,0.761359,0.1,2.58114,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,36.8814,,0,0,206.071,239.006,0.761359,0.1,2.57383,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,42.1608,,0,0,206.071,239.006,0.761359,0.1,2.75521,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,46.6676,,0,0,206.071,239.006,0.761359,0.1,2.24006,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,54.7042,,0,0,206.071,239.006,0.761359,0.1,2.74439,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,59.0559,,0,0,206.071,239.006,0.761359,0.1,2.08727,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,64.9413,,0,0,206.071,239.006,0.761359,0.1,2.86281,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,69.2255,,0,0,206.071,239.006,0.761359,0.1,2.01439,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,76.3877,,2,2,239.987,347.014,1.12021,2.7,2.1242,239.704,354.682,,181.148,340.454,10000,3.5,94.6,4,,239.987,347.014,1.12021,4.5,93.7,2.7,,409.097,681.468,2000,-1,-1,4,,206.071,239.006,10000,4,96.4,4,,387.219,573.459,2000,-1,-1,4,,434.019,580.02,2000,-1,-1,4,,615.168,914.474,2000,-1,-1,4,,
Normal,79.6292,,2,2,240.042,344.622,1.83333,2.4,0.21691,239.704,354.682,,6.92842e-310,6.92842e-310,1.4822e-323,3.5,95.2,1.9,,240.042,344.622,1.83333,4.46594,94.4,2.4,,6.92842e-310,6.92842e-310,1.4822e-323,-1,-1,-2.3,,6.92842e-310,6.92842e-310,1.4822e-323,3.88342,96.8,-4.4,,6.92842e-310,6.92842e-310,1.4822e-323,-1,-1,-6.5,,6.92842e-310,6.92842e-310,1.4822e-323,-1,-1,-8.6,,6.92842e-310,6.92842e-310,1.4822e-323,-1,-1,-10.7,,
VIOLATION,86.7895,,2,2,235.417,338.251,1.83333,2.4,2.34919,239.704,354.682,,181.148,340.454,10000,3.5,95.2,4,,221.95,338.251,10000,4.37537,94.4,4,,403.099,672.705,2000,-1,-1,4,,204.97,237.782,10000,3.97761,96.8,4,,386.118,572.236,2000,-1,-1,4,,426.92,570.034,2000,-1,-1,4,,608.069,904.487,2000,-1,-1,4,,
DECIDE,88.8449,,2,2,230.402,345.144,1.83333,2.4,-1,239.704,354.682,,188.236,349.109,0,3.5,95.2,2,,232.68,345.144,0,4.37537,94.4,2,,419.447,690.471,0,-1,-1,2,,216.452,243.133,0,3.97761,96.8,2,,403.197,588.24,0,-1,-1,2,,447.661,584.024,0,-1,-1,2,,633.965,929.964,0,-1,-1,2,,
