24.1086,Unsorted:,1.76574/271.383/479.191,1.4959/211.533/316.432,1.64462/481.453/791.809,1.13512/239.371/271.715,1.46643/509.3/746.854,1.29913/449.45/583.894,1.5824/669.774/1059.85,
24.1087,Unsorted:,1.85463/188.236/349.109,1.47967/239.704/354.682,1.64138/426.473/700.006,1.12334/216.274/242.95,1.45913/403.019/588.058,1.30553/454.509/593.376,1.46581/640.815/939.315,
24.1087,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
24.1106,Selected:,4,-1,5,Total:1012.89/1390.65,OK,CLA:-1/10000,UUV:1,Config:-1,false

51.957,Unsorted:,1.76772/267.458/472.791,1.49688/210.039/314.404,1.64565/476.032/783.384,1.1386/230.537/262.489,1.47266/496.537/731.232,1.30407/439.12/572.644,1.58753/656.497/1042.21,
51.957,Unsorted:,1.85463/188.236/349.109,1.47967/239.704/354.682,1.64138/426.473/700.006,1.12334/216.274/242.95,1.45913/403.019/588.058,1.30553/454.509/593.376,1.46581/640.815/939.315,
51.9571,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
51.9582,Selected:,4,-1,5,Total:1000.13/1375.03,OK,CLA:-1/10000,UUV:1,Config:-1,false

74.2607,Unsorted:,1.76253/277.961/489.915,1.49678/210.199/314.621,1.64521/486.698/800.719,1.13455/240.899/273.311,1.46725/517.408/759.169,1.29809/449.645/583.679,1.58336/676.004/1070.36,
74.2607,Unsorted:,1.85463/188.236/349.109,1.47967/239.704/354.682,1.64138/426.473/700.006,1.12334/216.274/242.95,1.45913/403.019/588.058,1.30553/454.509/593.376,1.46581/640.815/939.315,
74.2608,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
74.2619,Selected:,3,1,4,Total:1006.81/1397.44,OK,CLA:239.704/354.682,UUV:1,Config:1,true

93.881,Unsorted:,1.76574/271.383/479.191,1.49484/213.173/318.659,1.64364/483.094/794.035,1.13776/232.6/264.643,1.47213/502.527/739.784,1.30324/444.318/579.051,1.58649/664.997/1055.01,
93.881,Unsorted:,1.85463/188.236/349.109,1.48335/232.68/345.144,1.64615/419.447/690.471,1.12326/216.452/243.133,1.45894/403.197/588.24,1.30461/447.661/584.024,1.4669/633.965/929.964,
93.8811,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
93.8827,Selected:,4,-1,5,Total:1006.12/1383.58,OK,CLA:-1/10000,UUV:1,Config:-1,false

132.256,Unsorted:,1.7628/277.392/488.987,1.49707/209.761/314.026,1.64549/485.69/799.197,1.13473/240.401/272.791,1.46749/516.341/757.723,1.29832/448.708/582.565,1.58363/674.601/1068.32,
132.256,Unsorted:,1.85463/188.236/349.109,1.48335/232.68/345.144,1.64615/419.447/690.471,1.12326/216.452/243.133,1.45894/403.197/588.24,1.30461/447.661/584.024,1.4669/633.965/929.964,
132.256,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
132.258,Selected:,4,1,3,Total:1010.04/1397.19,OK,CLA:232.68/345.144,UUV:1,Config:1,true

143.943,Unsorted:,1.76685/269.164/475.573,1.49741/209.243/313.323,1.64608/476.942/785.084,1.13638/236.082/268.28,1.46847/503.79/739.802,1.30072/443.869/577.351,1.58445/662.496/1049.69,
143.944,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
143.944,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
143.945,Selected:,4,-1,5,Total:1007.38/1383.6,OK,CLA:-1/10000,UUV:1,Config:-1,false

166.917,Unsorted:,1.76146/280.241/493.633,1.49562/211.958/317.009,1.6441/490.739/806.823,1.13381/242.894/275.395,1.46635/521.684/764.969,1.2972/453.399/588.149,1.5823/681.628/1078.54,
166.917,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
166.917,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
166.919,Selected:,4,3,3,Total:1000.34/1303.64,OK,CLA:217.646/244.353,UUV:1,Config:3,true

174.888,Unsorted:,1.76888/265.226/469.152,1.49449/213.723/319.406,1.6435/477.485/784.746,1.13628/236.355/268.566,1.46697/500.124/733.669,1.30113/448.625/583.719,1.58233/663.35/1049.64,
174.888,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
174.888,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
174.889,Selected:,4,-1,5,Total:1003.72/1377.47,OK,CLA:-1/10000,UUV:1,Config:-1,false

192.84,Unsorted:,1.76372/275.495/485.895,1.49149/218.493/325.881,1.64043/492.528/807.957,1.13536/238.743/271.059,1.46826/512.785/752.9,1.30036/455.784/592.685,1.58245/679.542/1075.34,
192.84,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
192.84,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
192.842,Selected:,3,1,4,Total:1004.06/1394.4,OK,CLA:239.119/353.888,UUV:1,Config:1,true

215.619,Unsorted:,1.76574/271.383/479.191,1.49484/213.173/318.659,1.64364/483.094/794.035,1.13761/232.983/265.043,1.4718/502.91/740.184,1.30301/444.701/579.451,1.58624/665.355/1055.41,
215.619,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
215.619,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
215.621,Selected:,4,-1,5,Total:1006.5/1383.98,OK,CLA:-1/10000,UUV:1,Config:-1,false

245.742,Unsorted:,1.76239/278.26/490.403,1.49663/210.43/314.935,1.64506/487.229/801.521,1.13445/241.161/273.585,1.46714/517.969/759.931,1.29797/450.138/584.266,1.58322/676.742/1071.43,
245.742,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
