Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,22.1962,,0,0,6.93556e-310,6.93556e-310,-1,-1,-1,-1,-1,,188.236,349.109,0,3.5,102,2,,240.203,355.359,0,4.52101,102.333,2,,426.972,700.683,0,-1,-1,2,,216.728,243.415,0,3.98279,101.333,2,,403.474,588.522,0,-1,-1,2,,455.463,594.518,0,-1,-1,2,,641.769,940.456,0,-1,-1,2,,
Normal,32.1959,,0,0,204.935,237.743,0.760195,0.1,4.96283,-1,10000,,181.657,340.454,0.885425,3.5,99.8,3.9,,231.114,347.516,0.93589,4.50715,99.7667,3.6,,414.298,681.97,1.30193,-1,-1,3.6,,204.935,237.743,0.760195,3.9769,99.8667,4,,387.161,572.197,1.13905,-1,-1,3.9,,438.326,579.26,1.18952,-1,-1,3.6,,621.509,913.714,1.55556,-1,-1,3.6,,
Normal,35.1643,,0,0,206.071,239.006,0.761359,0.1,2.71666,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,40.5617,,0,0,206.071,239.006,0.761359,0.1,2.87799,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,45.5973,,0,0,206.071,239.006,0.761359,0.1,2.77112,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,50.0931,,0,0,206.071,239.006,0.761359,0.1,2.22778,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
Normal,58.7817,,6,6,439.126,580.02,1.18982,3.6,3.64791,403.474,588.522,,181.148,340.454,10000,3.5,90.91,4,,227.949,347.014,10000,4.5,90.1,4,,409.097,681.468,2000,-1,-1,4,,206.071,239.006,10000,4,91,4,,409.219,573.459,1.29376,-1,-1,3,,439.126,580.02,1.18982,-1,-1,3.6,,615.168,914.474,2000,-1,-1,4,,
Normal,60.6758,,6,6,440.048,580.236,1.55556,3.6,0.379614,403.474,588.522,,6.93556e-310,6.93556e-310,1.4822e-323,3.5,90.91,1.9,,6.93556e-310,6.93556e-310,1.4822e-323,4.45239,90.1,-0.2,,6.93556e-310,6.93556e-310,1.4822e-323,-1,-1,-2.3,,6.93556e-310,6.93556e-310,1.4822e-323,4.06522,91,-4.4,,6.93556e-310,6.93556e-310,1.4822e-323,-1,-1,-6.5,,440.048,580.236,1.55556,-1,-1,3.6,,6.93556e-310,6.93556e-310,1.4822e-323,-1,-1,-10.7,,
Normal,69.6016,,0,0,200.868,233.224,0.756315,0.1,2.88335,-1,10000,,181.657,340.454,0.886981,3.5,99.8,3.9,,231.612,348.235,0.938268,4.51738,99.7667,3.6,,414.795,682.688,1.30583,-1,-1,3.6,,200.868,233.224,0.756315,3.8943,99.8667,4,,383.084,567.678,1.1367,-1,-1,3.9,,434.712,575.459,1.18799,-1,-1,3.6,,617.895,909.913,1.55556,-1,-1,3.6,,
Normal,74.0358,,0,0,206.071,239.006,0.761359,0.1,2.16866,-1,10000,,181.657,340.454,0.885115,3.5,99.8,3.9,,230.766,347.014,0.935025,4.5,99.7667,3.6,,413.95,681.468,1.30076,-1,-1,3.6,,206.071,239.006,0.761359,4,99.8667,4,,388.3,573.459,1.13991,-1,-1,3.9,,439.126,580.02,1.18982,-1,-1,3.6,,622.31,914.474,1.55556,-1,-1,3.6,,
