24.7625,Unsorted:,1.78581/269.788/481.79,1.51727/210.31/319.097,1.66324/478.948/796.603,1.14936/238.212/273.791,1.4819/506.857/751.111,1.3149/447.38/588.259,1.5999/666.578/1066.46,
24.7625,Unsorted:,1.88516/186.614/351.798,1.5017/232.753/349.526,1.66677/418.213/697.066,1.13951/214.81/244.779,1.47943/400.252/592.146,1.32094/446.407/589.676,1.48565/631.327/937.934,
24.7626,Unsorted:,1.8177/265.055/481.79,1.46757/243.219/356.941,1.64542/507.129/834.438,1.14033/260.299/296.828,1.47673/524.226/774.142,1.29211/502.376/649.126,1.58001/713.483/1127.31,
24.7645,Selected:,4,-1,5,Total:1009.23/1400.24,OK,CLA:506.857/751.111,UUV:0,Config:4,true

190.896,Unsorted:,1.78928/263.981/472.336,1.51218/217.157/328.379,1.65927/479.988/796.431,1.15445/227.323/262.433,1.48994/490.156/730.303,1.32221/443.335/586.185,1.60442/657.516/1054.93,
190.896,Unsorted:,1.88516/186.614/351.798,1.5017/232.753/349.526,1.66677/418.213/697.066,1.13951/214.81/244.779,1.47943/400.252/592.146,1.32094/446.407/589.676,1.48565/631.327/937.934,
190.896,Unsorted:,1.8177/265.055/481.79,1.46757/243.219/356.941,1.64542/507.129/834.438,1.14033/260.299/296.828,1.47673/524.226/774.142,1.29211/502.376/649.126,1.58001/713.483/1127.31,
190.898,Selected:,5,5,3,Total:1150.04/1472.69,OK,CLA:443.335/586.185,UUV:0,Config:5,true

345.882,Unsorted:,1.78928/263.981/472.336,1.51218/217.157/328.379,1.65927/479.988/796.431,1.15445/227.323/262.433,1.48994/490.156/730.303,1.32221/443.335/586.185,1.60442/657.516/1054.93,
345.882,Unsorted:,1.88516/186.614/351.798,1.49762/239.46/358.62,1.66186/424.921/706.158,1.13487/223.61/253.769,1.46957/409.054/601.134,1.31572/461.918/607.756,1.47797/646.841/956.01,
345.882,Unsorted:,1.8177/265.055/481.79,1.46757/243.219/356.941,1.64542/507.129/834.438,1.14033/260.299/296.828,1.47673/524.226/774.142,1.29211/502.376/649.126,1.58001/713.483/1127.31,
345.883,Selected:,0,1,5,Total:1005.82/1480.08,OK,CLA:263.981/472.336,UUV:0,Config:0,true

365.55,Unsorted:,1.78928/263.981/472.336,1.51218/217.157/328.379,1.65927/479.988/796.431,1.15445/227.323/262.433,1.48994/490.156/730.303,1.32221/443.335/586.185,1.60442/657.516/1054.93,
365.55,Unsorted:,1.88516/186.614/351.798,1.50314/230.486/346.453,1.66847/415.945/693.993,1.13982/214.25/244.207,1.48008/399.692/591.575,1.32114/443.579/586.032,1.48654/628.499/934.29,
365.55,Unsorted:,1.8177/265.055/481.79,1.46757/243.219/356.941,1.64542/507.129/834.438,1.14033/260.299/296.828,1.47673/524.226/774.142,1.29211/502.376/649.126,1.58001/713.483/1127.31,
365.551,Selected:,5,5,3,Total:1147.21/1469.04,OK,CLA:443.335/586.185,UUV:0,Config:5,true

390.47,Unsorted:,1.78928/263.981/472.336,1.51218/217.157/328.379,1.65927/479.988/796.431,1.15445/227.323/262.433,1.48994/490.156/730.303,1.32221/443.335/586.185,1.60442/657.516/1054.93,
390.47,Unsorted:,1.88516/186.614/351.798,1.49748/239.705/358.953,1.66168/425.166/706.49,1.13476/223.84/254.004,1.46932/409.284/601.369,1.3156/462.393/608.323,1.47776/647.316/956.577,
390.47,Unsorted:,1.8177/265.055/481.79,1.46757/243.219/356.941,1.64542/507.129/834.438,1.14033/260.299/296.828,1.47673/524.226/774.142,1.29211/502.376/649.126,1.58001/713.483/1127.31,
390.471,Selected:,0,1,5,Total:1006.06/1480.41,OK,CLA:263.981/472.336,UUV:0,Config:0,true

410.158,Unsorted:,1.78928/263.981/472.336,1.51218/217.157/328.379,1.65927/479.988/796.431,1.15445/227.323/262.433,1.48994/490.156/730.303,1.32221/443.335/586.185,1.60442/657.516/1054.93,
410.158,Unsorted:,1.88516/186.614/351.798,1.50279/231.035/347.196,1.66806/416.494/694.737,1.13954/214.763/244.732,1.47949/400.205/592.099,1.32084/444.641/587.3,1.48605/629.561/935.557,
410.158,Unsorted:,1.8177/265.055/481.79,1.46757/243.219/356.941,1.64542/507.129/834.438,1.14033/260.299/296.828,1.47673/524.226/774.142,1.29211/502.376/649.126,1.58001/713.483/1127.31,
410.16,Selected:,5,5,3,Total:1148.28/1470.31,OK,CLA:443.335/586.185,UUV:0,Config:5,true

436.67,Unsorted:,1.78928/263.981/472.336,1.51218/217.157/328.379,1.65927/479.988/796.431,1.15445/227.323/262.433,1.48994/490.156/730.303,1.32221/443.335/586.185,1.60442/657.516/1054.93,
436.67,Unsorted:,1.88516/186.614/351.798,1.50279/231.035/347.196,1.66806/416.494/694.737,1.13954/214.763/244.732,1.47949/400.205/592.099,1.32084/444.641/587.3,1.48605/629.561/935.557,
436.67,Unsorted:,1.8177/265.055/481.79,1.46797/242.528/356.024,1.64585/506.438/833.521,1.13679/270.135/307.087,1.46873/534.064/784.398,1.28726/511.523/658.465,1.57404/722.123/1136.65,
