Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,18.932,,0,0,6.93045e-310,6.93045e-310,-1,-1,-1,-1,-1,,269.788,481.79,0,5,101.143,2,,210.238,318.998,0,3.97428,102.333,2,,478.875,796.504,0,-1,-1,2,,238.13,273.706,0,4.51134,102.333,2,,506.775,751.025,0,-1,-1,2,,447.225,588.075,0,-1,-1,2,,666.433,1066.27,0,-1,-1,4,,
Normal,29.7458,,5,5,506.824,730.545,1.35143,3.1,5.7688,506.775,751.025,,254.673,470.827,10000,5,96.4571,4,,204.538,309.822,10000,3.97346,92.1725,4,,459.211,774.649,10000,-1,-1,4,,227.551,265.718,10000,4.49173,91.475,4,,506.824,730.545,1.35143,-1,-1,3.1,,432.089,569.54,10000,-1,-1,4,,686.762,1034.37,2000,-1,-1,4,,
Normal,30.426,,5,5,507.402,732.926,1.625,3.2,0.671884,506.775,751.025,,6.93045e-310,6.93045e-310,1.4822e-323,5.02141,96.3429,1.9,,6.93045e-310,6.93045e-310,1.4822e-323,3.9825,91.92,-0.2,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-2.3,,6.93045e-310,6.93045e-310,1.4822e-323,4.50195,91.2,-4.4,,507.402,732.926,1.625,-1,-1,3.2,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-8.6,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-10.7,,
Normal,35.662,,5,5,506.987,725.991,1.66667,3,0.705848,506.775,751.025,,6.93045e-310,6.93045e-310,1.4822e-323,4.99368,96.5714,1.9,,6.93045e-310,6.93045e-310,1.4822e-323,4.03335,93,-0.2,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-2.3,,6.93045e-310,6.93045e-310,1.4822e-323,4.41748,93,-4.4,,506.987,725.991,1.66667,-1,-1,3,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-8.6,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-10.7,,
Normal,40.6288,,5,5,507.562,721.766,1.76923,2.6,0.431938,506.775,751.025,,6.93045e-310,6.93045e-310,1.4822e-323,4.962,97.0286,1.9,,6.93045e-310,6.93045e-310,1.4822e-323,4.00777,93.9333,-0.2,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-2.3,,6.93045e-310,6.93045e-310,1.4822e-323,4.38946,93.9333,-4.4,,507.562,721.766,1.76923,-1,-1,2.6,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-8.6,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-10.7,,
Normal,45.8773,,5,5,507.025,734.799,1.57143,3.5,0.463256,506.775,751.025,,6.93045e-310,6.93045e-310,1.4822e-323,4.98212,96,1.9,,6.93045e-310,6.93045e-310,1.4822e-323,3.8324,91.1625,-0.2,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-2.3,,6.93045e-310,6.93045e-310,1.4822e-323,4.59888,90.375,-4.4,,507.025,734.799,1.57143,-1,-1,3.5,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-8.6,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-10.7,,
Normal,51.1539,,5,5,507.602,720.576,1.8,2.5,0.490668,506.775,751.025,,6.93045e-310,6.93045e-310,1.4822e-323,4.95308,97.1429,1.9,,6.93045e-310,6.93045e-310,1.4822e-323,4.00056,94.1667,-0.2,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-2.3,,6.93045e-310,6.93045e-310,1.4822e-323,4.38157,94.1667,-4.4,,507.602,720.576,1.8,-1,-1,2.5,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-8.6,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-10.7,,
Normal,56.4604,,5,5,507.053,732.147,1.60606,3.3,0.765652,506.775,751.025,,6.93045e-310,6.93045e-310,1.4822e-323,4.96861,96.2286,1.9,,6.93045e-310,6.93045e-310,1.4822e-323,3.97488,91.6675,-0.2,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-2.3,,6.93045e-310,6.93045e-310,1.4822e-323,4.57112,90.925,-4.4,,507.053,732.147,1.60606,-1,-1,3.3,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-8.6,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-10.7,,
Normal,61.3204,,5,5,507.419,719.453,1.83333,2.4,0.579122,506.775,751.025,,6.93045e-310,6.93045e-310,1.4822e-323,4.95394,97.2571,1.9,,6.93045e-310,6.93045e-310,1.4822e-323,3.96315,94.4,-0.2,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-2.3,,6.93045e-310,6.93045e-310,1.4822e-323,4.35947,94.4,-4.4,,507.419,719.453,1.83333,-1,-1,2.4,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-8.6,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-10.7,,
Normal,66.6802,,5,5,507.035,722.067,1.68966,2.9,0.830636,506.775,751.025,,6.93045e-310,6.93045e-310,1.4822e-323,4.89406,96.6857,1.9,,6.93045e-310,6.93045e-310,1.4822e-323,4.11101,93.2333,-0.2,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-2.3,,6.93045e-310,6.93045e-310,1.4822e-323,4.50254,93.2333,-4.4,,507.035,722.067,1.68966,-1,-1,2.9,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-8.6,,6.93045e-310,6.93045e-310,1.4822e-323,-1,-1,-10.7,,
