Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,19.9349,,0,0,6.94498e-310,6.94498e-310,-1,-1,-1,-1,-1,,265.055,481.79,0,5,102,2,,241.211,354.274,0,4.47502,101.333,2,,505.12,831.772,0,-1,-1,2,,258.166,294.603,0,4.90121,102.333,2,,522.092,771.917,0,-1,-1,2,,498.234,644.235,0,-1,-1,2,,709.613,1122.42,0,-1,-1,4,,
Normal,29.0988,,6,6,503.841,628.016,1.24133,3,4.12241,498.234,644.235,,251.843,470.827,10000,5,94,4,,229.084,344.954,10000,4.47066,96,4,,480.927,809.781,10000,-1,-1,4,,250.835,289.063,10000,4.92601,93,4,,502.678,753.89,2000,-1,-1,4,,503.841,628.016,1.24133,-1,-1,3,,731.762,1092.84,2000,-1,-1,4,,
Normal,30.5164,,6,6,499.475,636.325,1.64516,3.1,0.410695,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,93.8,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.48203,92.25,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,5.06664,92.1725,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,499.475,636.325,1.64516,-1,-1,3.1,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,35.8013,,6,6,505.671,629.379,1.66667,3,0.502086,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,94,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.42884,96,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,5.00652,93,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,505.671,629.379,1.66667,-1,-1,3,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,40.8089,,6,6,498.389,636.477,1.64516,3.1,0.470872,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,93.8,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.56436,92.25,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,4.96126,92.1725,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,498.389,636.477,1.64516,-1,-1,3.1,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,45.9441,,6,6,499.175,615.653,1.83333,2.4,0.601155,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,95.2,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.395,96.8,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,4.79454,94.4,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,499.175,615.653,1.83333,-1,-1,2.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,50.926,,6,6,499.12,635.887,1.64516,3.1,0.447624,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,93.8,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.47867,92.25,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,5.06284,92.1725,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,499.12,635.887,1.64516,-1,-1,3.1,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,56.1625,,6,6,499.076,639.15,1.625,3.2,0.457976,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,93.6,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.59215,92,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,4.97483,91.92,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,499.076,639.15,1.625,-1,-1,3.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,61.3732,,6,6,500.653,623.311,1.66667,3,0.419372,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,94,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.38243,96,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,4.95405,93,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,500.653,623.311,1.66667,-1,-1,3,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,66.5919,,6,6,504.367,627.803,1.66667,3,0.430356,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,94,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.41678,96,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,4.99288,93,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,504.367,627.803,1.66667,-1,-1,3,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,71.7224,,6,6,504.444,630.616,1.66667,3,0.350284,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,94,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.60574,96,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,4.79765,93,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,504.444,630.616,1.66667,-1,-1,3,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,76.8997,,6,6,499.222,636.012,1.64516,3.1,0.393202,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,93.8,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.47963,92.25,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,5.06393,92.1725,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,499.222,636.012,1.64516,-1,-1,3.1,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,82.0706,,6,6,507.032,631.025,1.66667,3,0.385542,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,94,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.44144,96,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,5.02076,93,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,507.032,631.025,1.66667,-1,-1,3,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,87.2387,,6,6,498.331,621.791,1.66667,3,0.385146,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,94,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.44996,96,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,4.83691,93,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,498.331,621.791,1.66667,-1,-1,3,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,92.5142,,6,6,507.697,631.83,1.66667,3,0.489395,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,94,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.4476,96,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,5.02772,93,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,507.697,631.83,1.66667,-1,-1,3,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
Normal,97.4971,,6,6,501.518,624.184,1.66667,3,0.448646,498.234,644.235,,6.94498e-310,6.94498e-310,1.4822e-323,5,94,1.9,,6.94498e-310,6.94498e-310,1.4822e-323,4.3785,96,-0.2,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-2.3,,6.94498e-310,6.94498e-310,1.4822e-323,4.97557,93,-4.4,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-6.5,,501.518,624.184,1.66667,-1,-1,3,,6.94498e-310,6.94498e-310,1.4822e-323,-1,-1,-10.7,,
