Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,21.7978,,0,0,6.9309e-310,6.9309e-310,-1,-1,-1,-1,-1,,251.805,503.621,0,5,102,2,,229.441,374.62,0,4.50944,101.333,2,,477.79,877.331,0,-1,-1,2,,246.918,310.277,0,4.93891,102.333,2,,495.319,812.441,0,-1,-1,2,,472.911,682.941,0,-1,-1,2,,670.586,1187.71,0,-1,-1,4,,
Normal,33.2441,,6,6,482.293,629.596,1.0881,3.9,6.40863,472.911,682.941,,251.843,470.827,10000,5,89.275,4,,230.388,346.838,10000,4.49748,90.25,4,,482.231,811.665,2000,-1,-1,4,,250.562,288.758,10000,4.92032,90.1525,4,,502.405,753.585,2000,-1,-1,4,,482.293,629.596,1.0881,-1,-1,3.9,,732.792,1094.42,2000,-1,-1,4,,
Normal,33.7666,,6,6,479.064,623.863,1.51282,3.9,0.519194,472.911,682.941,,6.9309e-310,6.9309e-310,1.4822e-323,5,89.275,1.9,,6.9309e-310,6.9309e-310,1.4822e-323,4.36451,90.25,-0.2,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-2.3,,6.9309e-310,6.9309e-310,1.4822e-323,4.98801,90.1525,-4.4,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-6.5,,479.064,623.863,1.51282,-1,-1,3.9,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-10.7,,
Normal,38.7129,,6,6,486.413,635.069,1.51282,3.9,0.413492,472.911,682.941,,6.9309e-310,6.9309e-310,1.4822e-323,5,89.275,1.9,,6.9309e-310,6.9309e-310,1.4822e-323,4.55337,90.25,-0.2,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-2.3,,6.9309e-310,6.9309e-310,1.4822e-323,4.94932,90.1525,-4.4,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-6.5,,486.413,635.069,1.51282,-1,-1,3.9,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-10.7,,
Normal,43.8787,,6,6,482.514,628.64,1.51282,3.9,0.379394,472.911,682.941,,6.9309e-310,6.9309e-310,1.4822e-323,5,89.275,1.9,,6.9309e-310,6.9309e-310,1.4822e-323,4.42319,90.25,-0.2,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-2.3,,6.9309e-310,6.9309e-310,1.4822e-323,5.00012,90.1525,-4.4,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-6.5,,482.514,628.64,1.51282,-1,-1,3.9,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-10.7,,
Normal,49.0248,,6,6,486.573,633.78,1.51282,3.9,0.371544,472.911,682.941,,6.9309e-310,6.9309e-310,1.4822e-323,5,89.275,1.9,,6.9309e-310,6.9309e-310,1.4822e-323,4.46253,90.25,-0.2,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-2.3,,6.9309e-310,6.9309e-310,1.4822e-323,5.0446,90.1525,-4.4,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-6.5,,486.573,633.78,1.51282,-1,-1,3.9,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-10.7,,
Normal,54.219,,6,6,477.492,623.747,1.51282,3.9,0.414764,472.911,682.941,,6.9309e-310,6.9309e-310,1.4822e-323,5,89.275,1.9,,6.9309e-310,6.9309e-310,1.4822e-323,4.46518,90.25,-0.2,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-2.3,,6.9309e-310,6.9309e-310,1.4822e-323,4.85346,90.1525,-4.4,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-6.5,,477.492,623.747,1.51282,-1,-1,3.9,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-10.7,,
Normal,59.423,,6,6,491.159,641.219,1.51282,3.9,0.410764,472.911,682.941,,6.9309e-310,6.9309e-310,1.4822e-323,5,89.275,1.9,,6.9309e-310,6.9309e-310,1.4822e-323,4.60832,90.25,-0.2,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-2.3,,6.9309e-310,6.9309e-310,1.4822e-323,4.99235,90.1525,-4.4,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-6.5,,491.159,641.219,1.51282,-1,-1,3.9,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-10.7,,
Normal,64.6,,6,6,482.372,628.46,1.51282,3.9,0.386288,472.911,682.941,,6.9309e-310,6.9309e-310,1.4822e-323,5,89.275,1.9,,6.9309e-310,6.9309e-310,1.4822e-323,4.42181,90.25,-0.2,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-2.3,,6.9309e-310,6.9309e-310,1.4822e-323,4.99857,90.1525,-4.4,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-6.5,,482.372,628.46,1.51282,-1,-1,3.9,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-10.7,,
Normal,70.1079,,6,6,484.212,630.79,1.51282,3.9,0.714408,472.911,682.941,,6.9309e-310,6.9309e-310,1.4822e-323,5,89.275,1.9,,6.9309e-310,6.9309e-310,1.4822e-323,4.43964,90.25,-0.2,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-2.3,,6.9309e-310,6.9309e-310,1.4822e-323,5.01872,90.1525,-4.4,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-6.5,,484.212,630.79,1.51282,-1,-1,3.9,,6.9309e-310,6.9309e-310,1.4822e-323,-1,-1,-10.7,,
