Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,23.9001,,0,0,6.93368e-310,6.93368e-310,-1,-1,-1,-1,-1,,246.292,512.631,0,5,102,2,,224.789,383.329,0,4.52827,101.333,2,,461.31,904.256,0,-1,-1,2,,242.498,317.007,0,4.95954,102.333,2,,479.168,836.398,0,-1,-1,2,,457.545,705.692,0,-1,-1,2,,644.28,1230.07,0,-1,-1,4,,
Normal,36.8873,,6,6,485.357,632.894,1.08937,3.9,7.96209,457.545,705.692,,251.843,470.827,10000,5,89.275,4,,230.083,346.398,10000,4.49122,90.25,4,,481.926,811.225,2000,-1,-1,4,,253.922,292.496,10000,4.99025,90.1525,4,,505.765,757.323,2000,-1,-1,4,,485.357,632.894,1.08937,-1,-1,3.9,,735.848,1097.72,2000,-1,-1,4,,
Normal,39.7487,,6,6,480.716,626.268,1.51282,3.9,0.600837,457.545,705.692,,6.93368e-310,6.93368e-310,1.4822e-323,5,89.275,1.9,,6.93368e-310,6.93368e-310,1.4822e-323,4.39983,90.25,-0.2,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-2.3,,6.93368e-310,6.93368e-310,1.4822e-323,4.98647,90.1525,-4.4,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-6.5,,480.716,626.268,1.51282,-1,-1,3.9,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-10.7,,
Normal,49.8847,,6,6,485.282,632.047,1.51282,3.9,0.611058,457.545,705.692,,6.93368e-310,6.93368e-310,1.4822e-323,5,89.275,1.9,,6.93368e-310,6.93368e-310,1.4822e-323,4.444,90.25,-0.2,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-2.3,,6.93368e-310,6.93368e-310,1.4822e-323,5.03654,90.1525,-4.4,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-6.5,,485.282,632.047,1.51282,-1,-1,3.9,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-10.7,,
Normal,59.9583,,6,6,489.479,638.201,1.51282,3.9,0.545092,457.545,705.692,,6.93368e-310,6.93368e-310,1.4822e-323,5,89.275,1.9,,6.93368e-310,6.93368e-310,1.4822e-323,4.53672,90.25,-0.2,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-2.3,,6.93368e-310,6.93368e-310,1.4822e-323,5.02984,90.1525,-4.4,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-6.5,,489.479,638.201,1.51282,-1,-1,3.9,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-10.7,,
Normal,70.0165,,6,6,482.04,628.69,1.51282,3.9,0.509139,457.545,705.692,,6.93368e-310,6.93368e-310,1.4822e-323,5,89.275,1.9,,6.93368e-310,6.93368e-310,1.4822e-323,4.45879,90.25,-0.2,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-2.3,,6.93368e-310,6.93368e-310,1.4822e-323,4.95421,90.1525,-4.4,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-6.5,,482.04,628.69,1.51282,-1,-1,3.9,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-10.7,,
Normal,80.1721,,6,6,479.191,624.237,1.51282,3.9,0.618309,457.545,705.692,,6.93368e-310,6.93368e-310,1.4822e-323,5,89.275,1.9,,6.93368e-310,6.93368e-310,1.4822e-323,4.37891,90.25,-0.2,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-2.3,,6.93368e-310,6.93368e-310,1.4822e-323,4.97603,90.1525,-4.4,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-6.5,,479.191,624.237,1.51282,-1,-1,3.9,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-10.7,,
Normal,90.3552,,6,6,489.317,637.996,1.51282,3.9,0.658443,457.545,705.692,,6.93368e-310,6.93368e-310,1.4822e-323,5,89.275,1.9,,6.93368e-310,6.93368e-310,1.4822e-323,4.53513,90.25,-0.2,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-2.3,,6.93368e-310,6.93368e-310,1.4822e-323,5.02808,90.1525,-4.4,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-6.5,,489.317,637.996,1.51282,-1,-1,3.9,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-10.7,,
Normal,100.442,,6,6,481.927,627.8,1.51282,3.9,0.544167,457.545,705.692,,6.93368e-310,6.93368e-310,1.4822e-323,5,89.275,1.9,,6.93368e-310,6.93368e-310,1.4822e-323,4.41154,90.25,-0.2,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-2.3,,6.93368e-310,6.93368e-310,1.4822e-323,4.99974,90.1525,-4.4,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-6.5,,481.927,627.8,1.51282,-1,-1,3.9,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-10.7,,
Normal,110.675,,6,6,482.776,629.623,1.51282,3.9,0.701703,457.545,705.692,,6.93368e-310,6.93368e-310,1.4822e-323,5,89.275,1.9,,6.93368e-310,6.93368e-310,1.4822e-323,4.46598,90.25,-0.2,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-2.3,,6.93368e-310,6.93368e-310,1.4822e-323,4.9622,90.1525,-4.4,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-6.5,,482.776,629.623,1.51282,-1,-1,3.9,,6.93368e-310,6.93368e-310,1.4822e-323,-1,-1,-10.7,,
