Time,Ideal,Cumulative
0,0,0
26.32,1255.61,1432.98
39.12,2511.22,2868.81
42.25,3766.84,4303.99
52.44,5022.45,5741.96
62.41,6278.06,7172.74
72.64,7533.67,8610.64
82.88,8789.28,10046.14
93.14,10044.89,11481.36
103.23,11300.51,12919.91
113.73,12556.12,14348.04
123.42,13811.73,15785.4
133.76,15067.34,17220.99
143.64,16322.95,18656.45
153.82,17578.56,20090.64
164.02,18834.18,21526.7
174.28,20089.79,22965.56
184.28,21345.4,24402.96
194.35,22601.01,25846.29
204.44,23856.62,27274.29
214.52,25112.23,28714.55
224.63,26367.85,30152.11
234.73,27623.46,31586.34
244.85,28879.07,33021.85
254.92,30134.68,34450.86
265.39,31390.29,35893.9
275.17,32645.9,37324.74
285.24,33901.52,38760.72
295.35,35157.13,40138.51
305.52,36412.74,41628.87
318.86,37668.35,43116.3
325.68,38923.96,44594.66
335.67,40179.57,46087.12
346.02,41435.19,47568.14
356.01,42690.8,49061.15
366.25,43946.41,50543.52
376.53,45202.02,52028.47
386.54,46457.63,53520.22
396.78,47713.24,54926.18
410.31,48968.86,56355.7
417.01,50224.47,57793.92
427.23,51480.08,59231.1
437.62,52735.69,60671.6
447.66,53991.3,62100.96
457.75,55246.91,63533.83
467.76,56502.53,64973
477.79,57758.14,66406.14
487.75,59013.75,67847.59
498,60269.36,69274.47
508,61524.97,70712.98
518.01,62780.58,72153.53
528.01,64036.2,73586.67
538.25,65291.81,75019.02
548.49,66547.42,76453.18
558.71,67803.03,77893.51
568.94,69058.64,79321.42
579.19,70314.26,80758.52
589.53,71569.87,82192.64
599.55,72825.48,83634.57
609.57,74081.09,85058.96
619.54,75336.7,86503.46
629.81,76592.31,87931.46
639.8,77847.93,89364.92
650,79103.54,90807.13
660.24,80359.15,92250.42
670.23,81614.76,93682.89
680.47,82870.37,95122.3
690.69,84125.98,96556.11
700.93,85381.6,97996.82
711.2,86637.21,99436.11
721.5,87892.82,100872.24
731.49,89148.43,102308.08
741.51,90404.04,103741.08
751.52,91659.65,105168.24
761.59,92915.27,106598.95
771.57,94170.88,108050.62
781.83,95426.49,109478.23
791.84,96682.1,110920.22
801.86,97937.71,112348.37
812.07,99193.32,113786.6
822.29,100448.94,115217.77
832.51,101704.55,116653.32
842.75,102960.16,118091.69
852.76,104215.77,119524.01
863,105471.38,120965.36
873.23,106726.99,122399.26
883.47,107982.61,123834.77
893.76,109238.22,125264.15
903.73,110493.83,126705.27
913.97,111749.44,128139.4
924.21,113005.05,129582.02
934.43,114260.66,131005.76
944.46,115516.28,132441.69
954.48,116771.89,133861.61
964.5,118027.5,135283.26
974.54,119283.11,136718
984.58,120538.72,138144.66
994.62,121794.33,139641.61
1008.49,123049.95,140981.44
