Time,Ideal,Cumulative
0,0,0
26.3243,1016.682,1121.574
39.1172,2033.364,2246.33
42.2517,3050.046,3369.468
52.4399,4066.728,4495.645
62.4095,5083.41,5615.361
72.6375,6100.092,6741.337
82.8766,7116.774,7864.546
93.1416,8133.456,8988.797
103.228,9150.138,10114.788
113.725,10166.82,11232.58
123.417,11183.502,12358.551
133.758,12200.184,13481.873
143.644,13216.866,14605.495
153.82,14233.548,15728.535
164.02,15250.23,16852.33
174.279,16266.912,17978.03
184.279,17283.594,19104.183
194.352,18300.276,20234.121
204.44,19316.958,21352.113
214.518,20333.64,22479.726
224.633,21350.322,23605.171
234.726,22367.004,24727.367
244.854,23383.686,25851.091
254.915,24400.368,26969.925
265.387,25417.05,28099.502
275.169,26433.732,29219.808
285.244,27450.414,30343.425
295.354,28467.096,31416.326
305.519,29483.778,32494.619
318.857,30500.46,33571.498
325.676,31517.142,34641.474
335.667,32533.824,35719.382
346.018,33550.506,36792.045
356.013,34567.188,37873.605
366.252,35583.87,38959.886
376.526,36600.552,40035.297
386.539,37617.234,41112.745
396.782,38633.916,42208.907
410.313,39650.598,43329.242
417.007,40667.28,44454.482
427.226,41683.962,45579.249
437.615,42700.644,46707.672
447.657,43717.326,47825.612
457.753,44734.008,48948.119
467.762,45750.69,50074.482
477.787,46767.372,51196.562
487.752,47784.054,52324.575
498.004,48800.736,53441.183
508,49817.418,54568.11
518.013,50834.1,55695.524
528.009,51850.782,56817.53
538.245,52867.464,57939.012
548.491,53884.146,59061.839
558.714,54900.828,60189.059
568.939,55917.51,61307.631
579.185,56934.192,62432.268
589.528,57950.874,63554.602
599.553,58967.556,64683.727
609.57,59984.238,65798.439
619.544,61000.92,66929.509
629.81,62017.602,68047.029
639.798,63034.284,69169.395
650.001,64050.966,70298.051
660.243,65067.648,71427.969
670.227,66084.33,72549.476
680.469,67101.012,73677.047
690.687,68117.694,74799.889
700.93,69134.376,75927.249
711.198,70151.058,77053.544
721.502,71167.74,78178.827
731.491,72184.422,79302.02
741.509,73201.104,80424.092
751.52,74217.786,81540.985
761.586,75234.468,82661.145
771.573,76251.15,83797.749
781.831,77267.832,84915.021
791.839,78284.514,86044.028
801.864,79301.196,87161.637
812.068,80317.878,88288.348
822.293,81334.56,89408.483
832.508,82351.242,90532.509
842.749,83367.924,91658.124
852.755,84384.606,92779.586
862.999,85401.288,93907.617
873.233,86417.97,95030.316
883.469,87434.652,96154.304
893.758,88451.334,97273.486
903.73,89468.016,98401.318
913.97,90484.698,99524.248
924.207,91501.38,100653.612
934.434,92518.062,101767.598
944.46,93534.744,102891.656
954.483,94551.426,104002.169
964.501,95568.108,105115.9
974.544,96584.79,106238.577
984.578,97601.472,107354.491
994.618,98618.154,108440.256
1008.49,99634.836,109536.721
