Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,25.8254,,0,0,6.93394e-310,6.93394e-310,-1,-1,-1,-1,-1,,245.62,520.734,0,5,101.143,2,,186.511,351.932,0,3.98209,102.333,2,,423.246,879.624,0,-1,-1,2,,214.749,298.788,0,4.5202,102.333,2,,451.538,825.067,0,-1,-1,2,,392.435,655.073,0,-1,-1,2,,583.579,1186.21,0,-1,-1,4,,
Normal,41.8947,,6,6,436.852,569.23,1.10604,3.6,11.0344,392.435,655.073,,254.673,470.827,10000,5,91,4,,204.773,310.162,10000,3.97824,90.91,4,,459.446,774.989,2000,-1,-1,4,,226.973,265.068,10000,4.4797,90.1,4,,481.646,729.895,2000,-1,-1,4,,436.852,569.23,1.10604,-1,-1,3.6,,686.419,1034.06,2000,-1,-1,4,,
Normal,42.7778,,6,6,434.91,567.145,1.55556,3.6,0.873819,392.435,655.073,,6.93394e-310,6.93394e-310,1.4822e-323,5,91,1.9,,6.93394e-310,6.93394e-310,1.4822e-323,3.9827,90.91,-0.2,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-2.3,,6.93394e-310,6.93394e-310,1.4822e-323,4.43528,90.1,-4.4,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-6.5,,434.91,567.145,1.55556,-1,-1,3.6,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-10.7,,
Normal,53.1092,,6,6,436.995,570.262,1.55556,3.6,1.03938,392.435,655.073,,6.93394e-310,6.93394e-310,1.4822e-323,5,91,1.9,,6.93394e-310,6.93394e-310,1.4822e-323,4.03317,90.91,-0.2,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-2.3,,6.93394e-310,6.93394e-310,1.4822e-323,4.42665,90.1,-4.4,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-6.5,,436.995,570.262,1.55556,-1,-1,3.6,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-10.7,,
Normal,62.9257,,6,6,434.957,566.869,1.55556,3.6,0.760135,392.435,655.073,,6.93394e-310,6.93394e-310,1.4822e-323,5,91,1.9,,6.93394e-310,6.93394e-310,1.4822e-323,3.96205,90.91,-0.2,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-2.3,,6.93394e-310,6.93394e-310,1.4822e-323,4.4573,90.1,-4.4,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-6.5,,434.957,566.869,1.55556,-1,-1,3.6,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-10.7,,
Normal,73.0299,,6,6,437.145,569.631,1.55556,3.6,0.819753,392.435,655.073,,6.93394e-310,6.93394e-310,1.4822e-323,5,91,1.9,,6.93394e-310,6.93394e-310,1.4822e-323,3.98299,90.91,-0.2,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-2.3,,6.93394e-310,6.93394e-310,1.4822e-323,4.48087,90.1,-4.4,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-6.5,,437.145,569.631,1.55556,-1,-1,3.6,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-10.7,,
Normal,83.3796,,6,6,433.747,565.341,1.55556,3.6,1.04455,392.435,655.073,,6.93394e-310,6.93394e-310,1.4822e-323,5,91,1.9,,6.93394e-310,6.93394e-310,1.4822e-323,3.95047,90.91,-0.2,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-2.3,,6.93394e-310,6.93394e-310,1.4822e-323,4.44428,90.1,-4.4,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-6.5,,433.747,565.341,1.55556,-1,-1,3.6,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-10.7,,
Normal,93.568,,6,6,434.853,566.738,1.55556,3.6,1.13471,392.435,655.073,,6.93394e-310,6.93394e-310,1.4822e-323,5,91,1.9,,6.93394e-310,6.93394e-310,1.4822e-323,3.96106,90.91,-0.2,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-2.3,,6.93394e-310,6.93394e-310,1.4822e-323,4.45619,90.1,-4.4,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-6.5,,434.853,566.738,1.55556,-1,-1,3.6,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-10.7,,
Normal,103.174,,6,6,441.336,575.013,1.55556,3.6,0.564541,392.435,655.073,,6.93394e-310,6.93394e-310,1.4822e-323,5,91,1.9,,6.93394e-310,6.93394e-310,1.4822e-323,4.02887,90.91,-0.2,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-2.3,,6.93394e-310,6.93394e-310,1.4822e-323,4.5202,90.1,-4.4,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-6.5,,441.336,575.013,1.55556,-1,-1,3.6,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-10.7,,
Normal,113.237,,6,6,434.735,566.589,1.55556,3.6,0.526374,392.435,655.073,,6.93394e-310,6.93394e-310,1.4822e-323,5,91,1.9,,6.93394e-310,6.93394e-310,1.4822e-323,3.95993,90.91,-0.2,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-2.3,,6.93394e-310,6.93394e-310,1.4822e-323,4.45492,90.1,-4.4,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-6.5,,434.735,566.589,1.55556,-1,-1,3.6,,6.93394e-310,6.93394e-310,1.4822e-323,-1,-1,-10.7,,
