Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,27.3205,,0,0,6.93211e-310,6.93211e-310,-1,-1,-1,-1,-1,,152.179,408.023,0,3.5,102,2,,199.767,394.936,0,4.41686,102.333,2,,344.912,807.247,0,-1,-1,2,,180.746,280.002,0,3.98594,101.333,2,,325.783,691.295,0,-1,-1,2,,373.47,677.037,0,-1,-1,2,,479.953,1093.58,0,-1,-1,4,,
Normal,40.6617,,5,5,386.683,571.667,1.14193,3.9,8.30339,373.47,677.037,,181.148,340.454,10000,3.5,90.1525,4,,225.221,343.029,10000,4.44327,89.275,4,,406.369,677.482,2000,-1,-1,4,,204.458,237.214,10000,3.96721,90.25,4,,386.683,571.667,1.14193,-1,-1,3.9,,434.734,574.242,1.1875,-1,-1,3.6,,610.827,908.696,2000,-1,-1,4,,
Normal,43.1777,,5,5,385.838,569.96,1.51282,3.9,0.759336,373.47,677.037,,6.93211e-310,6.93211e-310,1.4822e-323,3.47681,90.1525,1.9,,6.93211e-310,6.93211e-310,1.4822e-323,4.47018,89.275,-0.2,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-2.3,,6.93211e-310,6.93211e-310,1.4822e-323,3.97349,90.25,-4.4,,385.838,569.96,1.51282,-1,-1,3.9,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-8.6,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-10.7,,
Normal,52.9841,,5,5,386.748,571.253,1.51282,3.9,0.523695,373.47,677.037,,6.93211e-310,6.93211e-310,1.4822e-323,3.48538,90.1525,1.9,,6.93211e-310,6.93211e-310,1.4822e-323,4.4812,89.275,-0.2,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-2.3,,6.93211e-310,6.93211e-310,1.4822e-323,3.98329,90.25,-4.4,,386.748,571.253,1.51282,-1,-1,3.9,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-8.6,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-10.7,,
Normal,63.0536,,5,5,385.932,570.094,1.51282,3.9,0.530394,373.47,677.037,,6.93211e-310,6.93211e-310,1.4822e-323,3.4777,90.1525,1.9,,6.93211e-310,6.93211e-310,1.4822e-323,4.47133,89.275,-0.2,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-2.3,,6.93211e-310,6.93211e-310,1.4822e-323,3.97451,90.25,-4.4,,385.932,570.094,1.51282,-1,-1,3.9,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-8.6,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-10.7,,
Normal,73.1635,,5,5,395.101,583.343,1.51282,3.9,0.558369,373.47,677.037,,6.93211e-310,6.93211e-310,1.4822e-323,3.5707,90.1525,1.9,,6.93211e-310,6.93211e-310,1.4822e-323,4.46337,89.275,-0.2,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-2.3,,6.93211e-310,6.93211e-310,1.4822e-323,4.06663,90.25,-4.4,,395.101,583.343,1.51282,-1,-1,3.9,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-8.6,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-10.7,,
Normal,83.2418,,5,5,384.608,568.212,1.51282,3.9,0.536103,373.47,677.037,,6.93211e-310,6.93211e-310,1.4822e-323,3.46523,90.1525,1.9,,6.93211e-310,6.93211e-310,1.4822e-323,4.45529,89.275,-0.2,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-2.3,,6.93211e-310,6.93211e-310,1.4822e-323,3.96026,90.25,-4.4,,384.608,568.212,1.51282,-1,-1,3.9,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-8.6,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-10.7,,
Normal,93.3979,,5,5,385.684,569.741,1.51282,3.9,0.620082,373.47,677.037,,6.93211e-310,6.93211e-310,1.4822e-323,3.47536,90.1525,1.9,,6.93211e-310,6.93211e-310,1.4822e-323,4.46832,89.275,-0.2,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-2.3,,6.93211e-310,6.93211e-310,1.4822e-323,3.97184,90.25,-4.4,,385.684,569.741,1.51282,-1,-1,3.9,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-8.6,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-10.7,,
Normal,103.461,,5,5,382.243,564.852,1.51282,3.9,0.516684,373.47,677.037,,6.93211e-310,6.93211e-310,1.4822e-323,3.44298,90.1525,1.9,,6.93211e-310,6.93211e-310,1.4822e-323,4.42669,89.275,-0.2,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-2.3,,6.93211e-310,6.93211e-310,1.4822e-323,3.93483,90.25,-4.4,,382.243,564.852,1.51282,-1,-1,3.9,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-8.6,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-10.7,,
Normal,113.569,,5,5,390.775,575.445,1.51282,3.9,0.560095,373.47,677.037,,6.93211e-310,6.93211e-310,1.4822e-323,3.47721,90.1525,1.9,,6.93211e-310,6.93211e-310,1.4822e-323,4.4707,89.275,-0.2,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-2.3,,6.93211e-310,6.93211e-310,1.4822e-323,4.0733,90.25,-4.4,,390.775,575.445,1.51282,-1,-1,3.9,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-8.6,,6.93211e-310,6.93211e-310,1.4822e-323,-1,-1,-10.7,,
