Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp,,
DECIDE,26.8971,,0,0,6.94052e-310,6.94052e-310,-1,-1,-1,-1,-1,,235.924,536.131,0,5,101.143,2,,176.971,364.921,0,3.98478,102.333,2,,405.886,905.194,0,-1,-1,2,,199.698,302.958,0,4.41556,102.333,2,,428.648,842.134,0,-1,-1,2,,369.699,669.99,0,-1,-1,2,,554.62,1214.33,0,-1,-1,4,,
Normal,40.7402,,4,4,229.423,264.674,0.811407,3.6,8.81243,199.698,302.958,,254.673,470.827,2000,5,91,4,,205.339,310.981,2000,3.98977,90.91,4,,460.012,775.808,2000,-1,-1,4,,229.423,264.674,0.811407,4.4724,90.1,3.6,,481.295,729.501,2000,-1,-1,4,,431.961,569.655,2000,-1,-1,4,,686.634,1034.48,2000,-1,-1,4,,
Normal,42.7073,,4,4,224.301,258.989,1.55556,3.6,0.707262,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,224.301,258.989,1.55556,4.36733,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,52.4515,,4,4,230.595,265.975,1.55556,3.6,0.443394,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,230.595,265.975,1.55556,4.49649,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,62.6792,,4,4,230.408,265.767,1.55556,3.6,0.432627,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,230.408,265.767,1.55556,4.49263,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,72.9665,,4,4,225.774,260.624,1.55556,3.6,0.48691,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,225.774,260.624,1.55556,4.39752,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,83.0164,,4,4,230.041,265.36,1.55556,3.6,0.503596,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,230.041,265.36,1.55556,4.4851,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,93.1088,,4,4,229.601,264.872,1.55556,3.6,0.543848,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,229.601,264.872,1.55556,4.47606,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,103.116,,4,4,228.767,263.946,1.55556,3.6,0.457263,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,228.767,263.946,1.55556,4.45894,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,113.089,,4,4,230.726,266.121,1.55556,3.6,0.429204,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,230.726,266.121,1.55556,4.49918,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,123.375,,4,4,226.025,260.902,1.55556,3.6,0.493593,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,226.025,260.902,1.55556,4.40266,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,133.372,,4,4,230.037,265.356,1.55556,3.6,0.457899,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,230.037,265.356,1.55556,4.48502,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
Normal,143.352,,4,4,225.872,260.732,1.55556,3.6,0.436905,199.698,302.958,,6.94052e-310,6.94052e-310,1.4822e-323,5,91,1.9,,6.94052e-310,6.94052e-310,1.4822e-323,4,90.91,-0.2,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-2.3,,225.872,260.732,1.55556,4.39953,90.1,3.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-6.5,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-8.6,,6.94052e-310,6.94052e-310,1.4822e-323,-1,-1,-10.7,,
