31.7734,Unsorted:,3.07068/266.254/817.582,2.16474/195.52/423.25,2.68122/458.833/1230.23,1.11561/195.52/218.125,2.23752/458.833/1026.65,1.63296/388.093/633.739,2.21196/650.514/1438.91,
31.7738,Unsorted:,3.07069/213.249/654.822,2.15104/246.275/529.747,2.57114/456.582/1173.94,1.168/109.36/127.732,2.41987/319.579/773.339,1.84269/352.665/649.852,2.29907/562.016/1292.11,
31.7739,Unsorted:,3.07069/213.249/654.822,2.16291/201.056/434.867,2.62317/411.335/1079,1.1827/97.3222/115.103,2.47356/307.533/760.702,1.83591/295.372/542.275,2.34692/504.704/1184.5,
31.774,Sorted:,1.11561/195.52/218.125,1.63296/388.093/633.739,2.16474/195.52/423.25,2.21196/650.514/1438.91,2.23752/458.833/1026.65,2.68122/458.833/1230.23,3.07068/266.254/817.582,
31.7742,Sorted:,1.168/109.36/127.732,1.84269/352.665/649.852,2.15104/246.275/529.747,2.29907/562.016/1292.11,2.41987/319.579/773.339,2.57114/456.582/1173.94,3.07069/213.249/654.822,
31.7743,Sorted:,1.1827/97.3222/115.103,1.83591/295.372/542.275,2.16291/201.056/434.867,2.34692/504.704/1184.5,2.47356/307.533/760.702,2.62317/411.335/1079,3.07069/213.249/654.822,
31.7745,Filtered:,1.11561/195.52/218.125,1.63296/388.093/633.739,2.21196/650.514/1438.91,
31.7745,Filtered:,1.168/109.36/127.732,1.84269/352.665/649.852,2.29907/562.016/1292.11,
31.7745,Filtered:,1.1827/97.3222/115.103,1.83591/295.372/542.275,2.34692/504.704/1184.5,
31.7746,Selected:,0,1,0,Total:645.507,OK,CLA:352.665,UUV:1,Config:1,true

176.58,Unsorted:,3.33388/5.39254/17.9781,4.63848/5.38655/24.9854,3.70751/10.7791/39.9636,3.56161/5.33262/18.9927,3.16738/10.7252/33.9708,3.82287/10.7192/40.9781,3.47302/16.1117/55.9563,
176.58,Unsorted:,3.07069/213.249/654.822,2.15104/246.275/529.747,2.57114/456.582/1173.94,1.168/109.36/127.732,2.41987/319.579/773.339,1.84269/352.665/649.852,2.29907/562.016/1292.11,
176.58,Unsorted:,3.07069/213.249/654.822,2.16291/201.056/434.867,2.62317/411.335/1079,1.1827/97.3222/115.103,2.47356/307.533/760.702,1.83591/295.372/542.275,2.34692/504.704/1184.5,
176.58,Sorted:,3.16738/10.7252/33.9708,3.33388/5.39254/17.9781,3.47302/16.1117/55.9563,3.56161/5.33262/18.9927,3.70751/10.7791/39.9636,3.82287/10.7192/40.9781,4.63848/5.38655/24.9854,
176.58,Sorted:,1.168/109.36/127.732,1.84269/352.665/649.852,2.15104/246.275/529.747,2.29907/562.016/1292.11,2.41987/319.579/773.339,2.57114/456.582/1173.94,3.07069/213.249/654.822,
176.58,Sorted:,1.1827/97.3222/115.103,1.83591/295.372/542.275,2.16291/201.056/434.867,2.34692/504.704/1184.5,2.47356/307.533/760.702,2.62317/411.335/1079,3.07069/213.249/654.822,
176.58,Filtered:,3.16738/10.7252/33.9708,3.47302/16.1117/55.9563,
176.58,Filtered:,1.168/109.36/127.732,1.84269/352.665/649.852,2.29907/562.016/1292.11,
