Type,Time,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA
Normal,39.9803,,254.673,851.051,1.05279,5,91,,206.42,461.011,0.812267,4,90.91,,461.8,1307.06,1.36181,-1,-1,,200.425,237.484,0.709812,3.88079,90.1,,457.927,1083.54,1.25936,-1,-1,,408.579,693.496,1.00601,-1,-1,,666.082,1539.55,1.55556,-1,-1,,4,4,200.425,237.484,0.709812,3.6,8.7809,195.52
Normal,48.7543,,254.673,851.051,1.05093,5,91,,206.42,461.011,0.811259,4,90.91,,461.8,1307.06,1.35896,-1,-1,,205.106,242.681,0.712656,3.97575,90.1,,462.608,1088.73,1.26035,-1,-1,,413.26,698.692,1.00786,-1,-1,,670.763,1544.74,1.55556,-1,-1,,4,4,205.106,242.681,0.712656,3.6,7.49851,195.52
Normal,57.1191,,254.673,851.051,1.05451,5,91,,206.42,461.011,0.813196,4,90.91,,461.8,1307.06,1.36445,-1,-1,,196.134,232.721,0.707187,3.79392,90.1,,453.636,1078.77,1.25844,-1,-1,,404.288,688.732,1.0043,-1,-1,,661.79,1534.78,1.55556,-1,-1,,4,4,196.134,232.721,0.707187,3.6,5.84743,195.52
Normal,68.1854,,254.673,851.051,1.14611,5,90.25,,206.42,461.011,0.862819,4,90.1525,,461.8,1307.06,1.50514,-1,-1,,0.106778,15.12,1.01148,0.002,89.275,,257.611,861.171,1.70935,-1,-1,,208.262,471.131,1.41324,-1,-1,,465.765,1317.18,2.05556,-1,-1,,2,2,206.42,461.011,0.862819,3.9,6.79095,195.52
Normal,76.8312,,254.673,849.051,1.14097,5,90.25,,205.269,468.458,0.866473,3.97664,90.1525,,460.649,1314.51,1.50518,-1,-1,,0.106778,13.12,1.0099,0.002,89.275,,257.611,859.171,1.70417,-1,-1,,207.102,478.578,1.41685,-1,-1,,464.605,1324.63,2.05556,-1,-1,,2,2,205.269,468.458,0.866473,3.9,5.37819,195.52
Normal,87.1929,,254.673,849.051,1.14296,5,90.25,,203.428,464.372,0.864473,3.93928,90.1525,,458.808,1310.42,1.50516,-1,-1,,0.106778,13.12,1.00994,0.002,89.275,,257.611,859.171,1.70617,-1,-1,,205.245,474.492,1.41487,-1,-1,,462.748,1320.54,2.05556,-1,-1,,2,2,203.428,464.372,0.864473,3.9,5.58564,195.52
Normal,98.2883,,254.673,849.051,1.13684,5,90.25,,209.116,476.994,0.870595,4.05479,90.1525,,464.496,1323.04,1.50518,-1,-1,,0.160165,13.18,1.00989,0.003,89.275,,257.665,859.231,1.70003,-1,-1,,211.035,487.174,1.42097,-1,-1,,468.538,1333.22,2.05556,-1,-1,,2,2,209.116,476.994,0.870595,3.9,6.5696,195.52
Normal,106.447,,254.673,849.051,1.14172,5,90.25,,204.519,466.794,0.865628,3.96142,90.1525,,459.899,1312.85,1.50508,-1,-1,,0.213551,13.24,1.01001,0.004,89.275,,257.719,859.291,1.70502,-1,-1,,206.454,477.034,1.4161,-1,-1,,463.956,1323.09,2.05556,-1,-1,,2,6,204.519,466.794,0.865628,3.9,4.63083,195.52
Normal,116.352,,254.673,849.051,1.04934,5,91,,203.269,464.02,0.813044,3.93606,90.91,,458.649,1310.07,1.36044,-1,-1,,203.151,238.51,0.709873,3.93606,90.1,,460.653,1084.56,1.25727,-1,-1,,408.128,699.53,1.00816,-1,-1,,665.63,1545.58,1.55556,-1,-1,,4,4,203.151,238.51,0.709873,3.6,4.37299,195.52
Normal,126.969,,254.673,851.051,1.05163,5,91,,206.42,461.011,0.811634,4,90.91,,461.8,1307.06,1.36002,-1,-1,,203.36,240.742,0.711597,3.9403,90.1,,460.862,1086.79,1.25998,-1,-1,,411.514,696.753,1.00717,-1,-1,,669.016,1542.8,1.55556,-1,-1,,4,4,203.36,240.742,0.711597,3.6,4.8386,195.52
Normal,137.016,,254.673,851.051,1.05144,5,91,,206.42,461.011,0.811531,4,90.91,,461.8,1307.06,1.35973,-1,-1,,203.84,241.275,0.711889,3.95005,90.1,,461.342,1087.33,1.26008,-1,-1,,411.994,697.287,1.00736,-1,-1,,669.497,1543.34,1.55556,-1,-1,,4,4,203.84,241.275,0.711889,3.6,4.75909,195.52
Normal,146.85,,254.673,851.051,1.05078,5,91,,206.42,461.011,0.811175,4,90.91,,461.8,1307.06,1.35872,-1,-1,,205.502,243.12,0.712896,3.98379,90.1,,463.004,1089.17,1.26044,-1,-1,,413.656,699.131,1.00801,-1,-1,,671.158,1545.18,1.55556,-1,-1,,4,4,205.502,243.12,0.712896,3.6,4.55259,195.52
Normal,156.858,,254.673,851.051,1.06306,5,90.25,,206.42,461.011,0.817829,4,90.1525,,461.8,1307.06,1.37758,-1,-1,,172.994,209.408,0.638546,3.37124,89.275,,432.634,1055.46,1.25385,-1,-1,,383.286,665.419,0.995802,-1,-1,,640.789,1511.47,1.55556,-1,-1,,2,2,206.42,461.011,0.817829,3.9,4.47516,195.52
VIOLATE,166.87,,0.107978,0.359985,1.01541,0.002,90.25,,0.107858,13.24,1.56678,0.002,90.1525,,0.215835,10.6,1.95377,-1,-1,,0.106778,13.12,1.56164,0.002,89.275,,0.214755,10.48,1.94863,-1,-1,,0.214635,23.36,2.5,-1,-1,,0.322613,20.72,2.88699,-1,-1,,2,2,0.108161,13.24,0.817829,3.9,4.47639,195.52
Decide,170.094,,5.39254,17.9781,1.32129,0.002,90.25,,5.38655,24.9854,1.44652,0.002,90.1525,,10.7791,39.9636,2.21419,-1,-1,,5.33262,18.9927,1.33942,0.002,89.275,,10.7252,33.9708,2.1071,-1,-1,,10.7192,40.9781,2.23232,-1,-1,,16.1117,55.9563,3,-1,-1,,2,2,5.40168,24.9854,0.817829,3.9,-1,195.52
Normal,179.235,,0.107978,3.85999,1.7539,0.002,99.8857,,0.108161,4.73999,1.9386,0.002,99.7667,,0.216438,2.09998,1.92297,-1,-1,,0.108098,5.12,2.05556,0.002,99.7667,,0.217275,2.47998,2.03993,-1,-1,,0.217167,3.35999,2.2118,-1,-1,,0.326344,0.719971,2.19617,-1,-1,,0,0,0.107978,3.85999,1.7539,0.1,4.11685,-1
Normal,189.715,,0.161964,4.03997,1.77992,0.003,99.8857,,0.162239,4.85998,1.95104,0.003,99.7667,,0.324653,2.39995,1.97613,-1,-1,,0.162144,5.17999,2.05556,0.003,99.7667,,0.325909,2.71996,2.08065,-1,-1,,0.325747,3.53997,2.23895,-1,-1,,0.489511,1.07994,2.26404,-1,-1,,0,0,0.161964,4.03997,1.77992,0.1,4.44746,-1
Normal,199.719,,0.21595,4.21995,1.80534,0.004,99.8857,,0.216316,4.97997,1.9632,0.004,99.7667,,0.432866,2.69992,2.02807,-1,-1,,0.21619,5.23998,2.05556,0.004,99.7667,,0.434539,2.95994,2.12043,-1,-1,,0.434324,3.71995,2.26547,-1,-1,,0.652673,1.43991,2.33035,-1,-1,,0,7,0.21595,4.21995,1.80534,0.1,4.20894,-1
RECOVER,209.502,,254.673,852.551,1.05502,5,91,,206.42,462.511,0.813921,4,90.91,,461.8,1308.56,1.36471,-1,-1,,206.3,234.006,0.707896,4,90.1,,463.802,1080.06,1.25869,-1,-1,,414.454,690.017,1.00477,-1,-1,,671.956,1536.07,1.55556,-1,-1,,4,11,206.3,234.006,0.707896,3.6,3.74442,-1
Decide,213.43,,266.254,821.082,1.56298,5,91,,208.053,441.048,1.30241,4,90.91,,471.374,1248.05,1.85574,-1,-1,,208.098,223.321,1.15312,4.00085,90.1,,471.419,1031.86,1.70751,-1,-1,,413.221,653.258,1.44791,-1,-1,,675.65,1458.45,2,-1,-1,,4,11,196.674,223.321,0.708678,3.6,-1,-1
Normal,221.768,,254.673,852.551,0.917064,5,91,,359.277,803.916,0.893272,7.24065,90.91,,615.667,1649.97,1.31998,-1,-1,,352.121,400.707,0.696024,7.16195,90.1,,613.975,1246.76,1.16546,-1,-1,,719.787,1198.12,1.14167,-1,-1,,966.071,2044.17,1.5,-1,-1,,6,6,719.787,1198.12,1.14167,3.6,3.30011,413.221
Normal,232.236,,254.673,852.551,1.05757,5,96.2286,,203.74,457.836,0.799424,3.95723,91.6675,,459.693,1303.89,1.36556,-1,-1,,201.701,231.668,0.651511,3.95723,90.925,,461.696,1077.72,1.26038,-1,-1,,413.81,683.004,1.05274,-1,-1,,667.726,1529.05,1.55556,-1,-1,,6,6,413.81,683.004,1.05274,3.3,3.66323,413.221
Normal,242.129,,254.673,852.551,1.05787,5,96.1143,,201.886,453.71,0.796887,3.91952,91.415,,457.833,1299.76,1.36333,-1,-1,,204.632,234.962,0.653749,4.01751,90.65,,464.664,1081.01,1.26292,-1,-1,,413.714,682.172,1.03462,-1,-1,,668.818,1528.22,1.55556,-1,-1,,6,6,413.714,682.172,1.03462,3.4,3.35187,413.221
Normal,252.387,,254.673,852.551,1.05462,5,91,,207.789,466.844,0.803701,4.03967,90.91,,463.752,1312.89,1.36691,-1,-1,,200.918,230.788,0.650137,3.94114,90.1,,460.903,1076.84,1.25608,-1,-1,,413.524,691.132,1.00516,-1,-1,,671.027,1537.18,1.55556,-1,-1,,6,6,413.524,691.132,1.00516,3.6,3.45987,413.221
Normal,262.646,,254.673,852.551,1.05714,5,96.3429,,205.728,462.258,0.802086,3.99768,91.92,,461.686,1308.31,1.3678,-1,-1,,198.804,228.413,0.649268,3.89774,91.2,,458.764,1074.46,1.25772,-1,-1,,414.069,684.17,1.07211,-1,-1,,666.803,1530.22,1.55556,-1,-1,,6,6,414.069,684.17,1.07211,3.2,3.71319,413.221
Normal,272.011,,254.673,852.551,1.05915,5,96.3429,,200.804,451.302,0.79599,3.89753,91.92,,456.748,1297.35,1.3637,-1,-1,,203.658,233.867,0.653383,3.99746,91.2,,463.677,1079.92,1.26383,-1,-1,,414.008,678.669,1.07011,-1,-1,,666.737,1524.72,1.55556,-1,-1,,6,6,414.008,678.669,1.07011,3.2,3.07243,413.221
Normal,282.024,,254.673,852.551,1.05369,5,96,,208.572,468.586,0.804321,4.05563,91.1625,,463.244,1314.64,1.35378,-1,-1,,201.676,231.64,0.650437,3.95671,90.375,,456.348,1077.69,1.1999,-1,-1,,410.247,693.725,0.950536,-1,-1,,687.943,1539.78,1.57143,-1,-1,,7,7,687.943,1539.78,1.57143,3.5,2.97537,675.65
Normal,292.03,,254.224,851.054,1.05901,4.99066,96,,200.567,450.776,0.79609,3.89272,91.1625,,454.791,1295.33,1.35083,-1,-1,,203.418,233.598,0.653438,3.99253,90.375,,457.642,1078.15,1.20818,-1,-1,,403.985,677.873,0.945258,-1,-1,,681.117,1522.43,1.57143,-1,-1,,7,7,681.117,1522.43,1.57143,3.5,2.96289,675.65
Normal,302.032,,249.546,835.459,1.05033,4.89344,96,,205.579,461.927,0.80428,3.99465,91.1625,,455.125,1290.89,1.35033,-1,-1,,203.521,233.713,0.653951,3.99465,90.375,,453.067,1062.67,1.2,-1,-1,,409.1,689.14,0.953949,-1,-1,,681.314,1518.1,1.57143,-1,-1,,7,7,681.314,1518.1,1.57143,3.5,2.95191,675.65
