Type,Time,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA
Normal,41.0492,,206.071,688.517,1.00442,4,91,,245.718,561.238,0.911177,4.8197,90.91,,453.051,1245.26,1.42513,-1,-1,,107.85,124.2,0.590992,2.07021,90.1,,313.921,808.217,1.09212,-1,-1,,357.662,680.939,1.05443,-1,-1,,566.022,1364.96,1.55556,-1,-1,,6,6,357.662,680.939,1.05443,3.6,9.27089,352.665
Normal,48.7941,,206.071,688.517,0.991584,4,91,,253.527,578.614,0.913116,4.98203,90.91,,460.882,1262.63,1.41431,-1,-1,,124.115,142.478,0.601726,2.39137,90.1,,353.158,826.495,1.35933,-1,-1,,382.024,716.592,1.06718,-1,-1,,590.384,1400.61,1.55556,-1,-1,,6,6,382.024,716.592,1.06718,3.6,6.98448,352.665
Normal,57.6845,,206.071,688.517,0.990765,4,91,,254.364,580.477,0.913756,4.99947,90.91,,461.722,1264.49,1.41413,-1,-1,,124.537,142.953,0.601895,2.39975,90.1,,353.016,826.97,1.33019,-1,-1,,383.299,718.93,1.068,-1,-1,,591.659,1402.95,1.55556,-1,-1,,6,6,383.299,718.93,1.068,3.6,5.87378,352.665
Normal,68.6074,,206.071,688.517,0.998209,4,91,,250.869,572.7,0.914405,4.92671,90.91,,458.217,1256.72,1.42218,-1,-1,,112.803,129.766,0.593898,2.16775,90.1,,318.873,813.783,1.08885,-1,-1,,367.884,697.966,1.0606,-1,-1,,576.245,1381.98,1.55556,-1,-1,,6,6,367.884,697.966,1.0606,3.6,6.64795,352.665
Normal,77.188,,206.071,688.517,0.996845,4,91,,255.192,582.318,0.92021,5.01671,90.91,,462.551,1266.34,1.42663,-1,-1,,107.621,123.942,0.589439,2.0657,90.1,,313.692,807.959,1.08304,-1,-1,,367.01,701.761,1.06196,-1,-1,,575.37,1385.78,1.55556,-1,-1,,6,6,367.01,701.761,1.06196,3.6,5.06266,352.665
Normal,87.5506,,206.071,688.517,1.00494,4,91,,247.374,564.923,0.914302,4.85407,90.91,,454.712,1248.94,1.42877,-1,-1,,103.323,119.113,0.587355,1.98125,90.1,,309.394,803.13,1.089,-1,-1,,354.753,679.536,1.05391,-1,-1,,563.114,1363.55,1.55556,-1,-1,,6,6,354.753,679.536,1.05391,3.6,5.33056,352.665
Normal,98.8538,,206.071,688.517,1.00358,4,91,,251.681,574.508,0.920191,4.94361,90.91,,459.031,1258.52,1.4333,-1,-1,,98.0865,113.228,0.582814,1.87857,90.1,,304.157,797.245,1.0831,-1,-1,,353.808,683.235,1.05527,-1,-1,,562.168,1367.25,1.55556,-1,-1,,6,6,353.808,683.235,1.05527,3.6,6.51948,352.665
Normal,106.978,,206.071,688.517,0.997882,4,91,,253.267,578.035,0.91799,4.97661,90.91,,460.621,1262.05,1.42544,-1,-1,,108.865,125.34,0.590636,2.09017,90.1,,314.935,809.357,1.08526,-1,-1,,366.322,698.875,1.06093,-1,-1,,574.683,1382.89,1.55556,-1,-1,,6,6,366.322,698.875,1.06093,3.6,4.59677,352.665
Normal,116.828,,206.071,688.517,0.997753,4,91,,251.33,573.726,0.914767,4.9363,90.91,,458.679,1257.74,1.42209,-1,-1,,113.017,130.006,0.593986,2.17197,90.1,,319.087,814.023,1.08849,-1,-1,,368.567,699.232,1.06106,-1,-1,,576.928,1383.25,1.55556,-1,-1,,6,6,368.567,699.232,1.06106,3.6,4.31824,352.665
Normal,127.448,,206.071,688.517,0.999335,4,91,,251.789,574.748,0.916826,4.94586,90.91,,459.14,1258.77,1.42572,-1,-1,,108.208,124.603,0.590366,2.07726,90.1,,314.279,808.62,1.08644,-1,-1,,364.164,694.851,1.05948,-1,-1,,572.525,1378.87,1.55556,-1,-1,,6,6,364.164,694.851,1.05948,3.6,4.82878,352.665
Normal,137.556,,206.071,688.517,0.999372,4,91,,251.752,574.664,0.916796,4.94507,90.91,,459.102,1258.68,1.42573,-1,-1,,108.192,124.584,0.590359,2.07693,90.1,,314.262,808.601,1.08647,-1,-1,,364.109,694.748,1.05945,-1,-1,,572.469,1378.76,1.55556,-1,-1,,6,6,364.109,694.748,1.05945,3.6,4.82543,352.665
Normal,147.228,,206.071,688.517,1.00356,4,91,,251.699,574.547,0.920206,4.94398,90.91,,459.049,1258.56,1.43329,-1,-1,,98.0936,113.236,0.582817,1.87871,90.1,,304.164,797.253,1.08309,-1,-1,,353.833,683.283,1.05529,-1,-1,,562.193,1367.3,1.55556,-1,-1,,6,6,353.833,683.283,1.05529,3.6,4.38394,352.665
Normal,157.486,,206.071,688.517,1.00279,4,91,,250.374,571.599,0.917412,4.91642,90.91,,457.721,1255.62,1.42974,-1,-1,,102.575,118.272,0.586369,1.96657,90.1,,308.646,802.289,1.08587,-1,-1,,357.03,685.372,1.05605,-1,-1,,565.391,1369.39,1.55556,-1,-1,,6,6,357.03,685.372,1.05605,3.6,4.47143,352.665
Normal,167.024,,206.071,688.517,0.999131,4,91,,254.092,579.871,0.920369,4.99379,90.91,,461.448,1263.89,1.42906,-1,-1,,104.152,120.044,0.587024,1.99752,90.1,,310.223,804.061,1.08289,-1,-1,,362.385,695.415,1.05969,-1,-1,,570.746,1379.43,1.55556,-1,-1,,6,6,362.385,695.415,1.05969,3.6,3.99713,352.665
