Type,Time,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA
Normal,39.6095,,206.071,689.017,1.041,4,91,,206.42,461.011,0.874793,4,90.91,,413.063,1145.03,1.41186,-1,-1,,106.823,133.58,0.660439,2.02437,90.1,,315.183,817.597,1.19751,-1,-1,,314.977,589.591,1.01849,-1,-1,,523.337,1273.61,1.55556,-1,-1,,4,4,106.823,133.58,0.660439,3.6,8.64099,97.3222
Normal,48.6976,,206.071,689.017,1.0448,4,91,,206.42,461.011,0.877337,4,90.91,,413.063,1145.03,1.41818,-1,-1,,98.8164,124.692,0.654148,1.86924,90.1,,307.177,808.709,1.19499,-1,-1,,306.971,580.704,1.01471,-1,-1,,515.331,1264.72,1.55556,-1,-1,,4,4,98.8164,124.692,0.654148,3.6,7.57144,97.3222
Normal,57.308,,206.071,689.017,1.03959,4,91,,206.42,461.011,0.873853,4,90.91,,413.063,1145.03,1.40953,-1,-1,,109.809,136.895,0.662762,2.08237,90.1,,318.169,820.912,1.19844,-1,-1,,317.963,592.906,1.01988,-1,-1,,526.323,1276.92,1.55556,-1,-1,,4,4,109.809,136.895,0.662762,3.6,6.0971,97.3222
Normal,68.0735,,206.071,689.017,1.03507,4,91,,206.42,461.011,0.870827,4,90.91,,413.063,1145.03,1.40201,-1,-1,,119.534,147.691,0.670247,2.27183,90.1,,327.895,831.708,1.20143,-1,-1,,327.689,603.702,1.02437,-1,-1,,536.049,1287.72,1.55556,-1,-1,,4,4,119.534,147.691,0.670247,3.6,6.73862,97.3222
Normal,76.6407,,206.071,689.017,1.03447,4,91,,206.42,461.011,0.870429,4,90.91,,413.063,1145.03,1.40103,-1,-1,,120.823,149.121,0.671229,2.29699,90.1,,329.183,833.138,1.20183,-1,-1,,328.977,605.132,1.02496,-1,-1,,537.337,1289.15,1.55556,-1,-1,,4,4,120.823,149.121,0.671229,3.6,5.29267,97.3222
Normal,87.0709,,206.071,689.017,1.03953,4,91,,206.42,461.011,0.87381,4,90.91,,413.063,1145.03,1.40942,-1,-1,,109.947,137.048,0.662869,2.08505,90.1,,318.307,821.065,1.19848,-1,-1,,318.101,593.059,1.01994,-1,-1,,526.461,1277.08,1.55556,-1,-1,,4,4,109.947,137.048,0.662869,3.6,5.65123,97.3222
Normal,97.73,,206.071,689.017,1.04242,4,91,,206.42,461.011,0.875749,4,90.91,,413.063,1145.03,1.41424,-1,-1,,103.801,130.226,0.658075,1.96576,90.1,,312.162,814.243,1.19656,-1,-1,,311.956,586.237,1.01707,-1,-1,,520.316,1270.25,1.55556,-1,-1,,4,4,103.801,130.226,0.658075,3.6,6.13615,97.3222
Normal,106.355,,206.071,689.017,1.03759,4,91,,206.42,461.011,0.872517,4,90.91,,413.063,1145.03,1.40621,-1,-1,,114.082,141.639,0.666067,2.16552,90.1,,322.443,825.656,1.19976,-1,-1,,322.237,597.65,1.02186,-1,-1,,530.597,1281.67,1.55556,-1,-1,,4,4,114.082,141.639,0.666067,3.6,4.60195,97.3222
Normal,116.211,,206.071,689.017,1.04224,4,91,,206.42,461.011,0.875624,4,90.91,,413.063,1145.03,1.41393,-1,-1,,104.195,130.663,0.658384,1.97339,90.1,,312.555,814.68,1.19669,-1,-1,,312.349,586.674,1.01725,-1,-1,,520.71,1270.69,1.55556,-1,-1,,4,4,104.195,130.663,0.658384,3.6,4.3227,97.3222
Normal,127.1,,206.071,689.017,1.04457,4,91,,206.42,461.011,0.877183,4,90.91,,413.063,1145.03,1.4178,-1,-1,,99.2977,125.227,0.654529,1.87855,90.1,,307.658,809.244,1.19514,-1,-1,,307.452,581.238,1.01494,-1,-1,,515.812,1265.25,1.55556,-1,-1,,4,4,99.2977,125.227,0.654529,3.6,5.09759,97.3222
